RANK,SX,CAT,LOC,Category,COLLEGE,PHASE
160481,F,BC-D,AP,B2,"Alluri Seetharama Raju Academy of Medical Sciences, Eluru",P1
161576,F,OC,AP,B2,"Alluri Seetharama Raju Academy of Medical Sciences, Eluru",P1
161665,F,BC-B,AP,B2,"Alluri Seetharama Raju Academy of Medical Sciences, Eluru",P1
163559,M,OC,AP,B2,"Alluri Seetharama Raju Academy of Medical Sciences, Eluru",P1
163596,M,BC-B,AP,B2,"Alluri Seetharama Raju Academy of Medical Sciences, Eluru",P1
164120,F,BC-D,AP,B2,"Alluri Seetharama Raju Academy of Medical Sciences, Eluru",P1
164824,F,OC,AP,B2,"Alluri Seetharama Raju Academy of Medical Sciences, Eluru",P1
348207,M,OC,AP,NRI,"Alluri Seetharama Raju Academy of Medical Sciences, Eluru",P1
379336,M,OC,AP,NRI,"Alluri Seetharama Raju Academy of Medical Sciences, Eluru",P1
424136,F,OC,AP,NRI,"Alluri Seetharama Raju Academy of Medical Sciences, Eluru",P1
431107,M,BC-A,AP,NRI,"Alluri Seetharama Raju Academy of Medical Sciences, Eluru",P1
439715,M,OC,AP,NRI,"Alluri Seetharama Raju Academy of Medical Sciences, Eluru",P1
457915,M,OC,AP,NRI,"Alluri Seetharama Raju Academy of Medical Sciences, Eluru",P1
476654,F,OC,AP,NRI,"Alluri Seetharama Raju Academy of Medical Sciences, Eluru",P1
512790,M,OC,AP,NRI,"Alluri Seetharama Raju Academy of Medical Sciences, Eluru",P1
523723,M,OC,AP,NRI,"Alluri Seetharama Raju Academy of Medical Sciences, Eluru",P1
574995,M,BC-D,OTHERS,NRI,"Alluri Seetharama Raju Academy of Medical Sciences, Eluru",P1
579436,F,OC,AP,NRI,"Alluri Seetharama Raju Academy of Medical Sciences, Eluru",P1
589143,F,OC,OTHERS,NRI,"Alluri Seetharama Raju Academy of Medical Sciences, Eluru",P1
601772,F,SC,AP,NRI,"Alluri Seetharama Raju Academy of Medical Sciences, Eluru",P1
619691,M,OC,AP,NRI,"Alluri Seetharama Raju Academy of Medical Sciences, Eluru",P1
639219,F,OC,AP,NRI,"Alluri Seetharama Raju Academy of Medical Sciences, Eluru",P1
688324,M,OC,AP,NRI,"Alluri Seetharama Raju Academy of Medical Sciences, Eluru",P1
694140,F,OC,AP,NRI,"Alluri Seetharama Raju Academy of Medical Sciences, Eluru",P1
735281,F,BC-B,AP,NRI,"Alluri Seetharama Raju Academy of Medical Sciences, Eluru",P1
736534,F,OC,AP,NRI,"Alluri Seetharama Raju Academy of Medical Sciences, Eluru",P1
810382,M,OC,AP,NRI,"Alluri Seetharama Raju Academy of Medical Sciences, Eluru",P1
826145,F,SC,AP,NRI,"Alluri Seetharama Raju Academy of Medical Sciences, Eluru",P1
886568,M,OC,OTHERS,NRI,"Alluri Seetharama Raju Academy of Medical Sciences, Eluru",P1
966093,F,OC,AP,NRI,"Alluri Seetharama Raju Academy of Medical Sciences, Eluru",P1
979947,M,OC,AP,NRI,"Alluri Seetharama Raju Academy of Medical Sciences, Eluru",P1
996987,M,OC,AP,NRI,"Alluri Seetharama Raju Academy of Medical Sciences, Eluru",P1
78214,F,OC,AP,B1,"Apollo Institute of Medical Sciences and Research, Chittoor",P1
89246,M,OC,AP,B1,"Apollo Institute of Medical Sciences and Research, Chittoor",P1
90446,F,OC,AP,B1,"Apollo Institute of Medical Sciences and Research, Chittoor",P1
91157,M,OC,AP,B1,"Apollo Institute of Medical Sciences and Research, Chittoor",P1
94923,M,OC,AP,B1,"Apollo Institute of Medical Sciences and Research, Chittoor",P1
97342,F,OC,AP,B1,"Apollo Institute of Medical Sciences and Research, Chittoor",P1
97984,F,OC,AP,B1,"Apollo Institute of Medical Sciences and Research, Chittoor",P1
98163,M,OC,AP,B1,"Apollo Institute of Medical Sciences and Research, Chittoor",P1
103753,M,OC,AP,B2,"Apollo Institute of Medical Sciences and Research, Chittoor",P1
118299,M,OC,AP,B2,"Apollo Institute of Medical Sciences and Research, Chittoor",P1
118582,F,OC,AP,B2,"Apollo Institute of Medical Sciences and Research, Chittoor",P1
136652,M,BC-B,AP,B2,"Apollo Institute of Medical Sciences and Research, Chittoor",P1
143040,M,OC,AP,B2,"Apollo Institute of Medical Sciences and Research, Chittoor",P1
151672,M,BC-D,AP,B2,"Apollo Institute of Medical Sciences and Research, Chittoor",P1
152204,F,BC-B,AP,B2,"Apollo Institute of Medical Sciences and Research, Chittoor",P1
154898,F,OC,AP,B2,"Apollo Institute of Medical Sciences and Research, Chittoor",P1
159431,F,BC-B,AP,B2,"Apollo Institute of Medical Sciences and Research, Chittoor",P1
175897,F,OC,AP,B2,"Apollo Institute of Medical Sciences and Research, Chittoor",P1
177605,F,BC-B,AP,B2,"Apollo Institute of Medical Sciences and Research, Chittoor",P1
177932,F,BC-D,AP,B2,"Apollo Institute of Medical Sciences and Research, Chittoor",P1
185277,M,OC,AP,B2,"Apollo Institute of Medical Sciences and Research, Chittoor",P1
186865,F,OC,AP,B2,"Apollo Institute of Medical Sciences and Research, Chittoor",P1
189264,F,OC,AP,B2,"Apollo Institute of Medical Sciences and Research, Chittoor",P1
190663,M,BC-E,AP,B2,"Apollo Institute of Medical Sciences and Research, Chittoor",P1
191820,M,SC,AP,B2,"Apollo Institute of Medical Sciences and Research, Chittoor",P1
192676,F,OC,AP,B2,"Apollo Institute of Medical Sciences and Research, Chittoor",P1
194421,M,OC,AP,B2,"Apollo Institute of Medical Sciences and Research, Chittoor",P1
195766,M,SC,AP,B2,"Apollo Institute of Medical Sciences and Research, Chittoor",P1
200708,M,OC,AP,B2,"Apollo Institute of Medical Sciences and Research, Chittoor",P1
201295,F,OC,AP,B2,"Apollo Institute of Medical Sciences and Research, Chittoor",P1
201604,F,OC,AP,B2,"Apollo Institute of Medical Sciences and Research, Chittoor",P1
202183,M,BC-A,AP,B2,"Apollo Institute of Medical Sciences and Research, Chittoor",P1
202759,F,SC,AP,B2,"Apollo Institute of Medical Sciences and Research, Chittoor",P1
202986,F,OC,AP,B2,"Apollo Institute of Medical Sciences and Research, Chittoor",P1
205675,M,OC,AP,B2,"Apollo Institute of Medical Sciences and Research, Chittoor",P1
207658,M,OC,AP,B2,"Apollo Institute of Medical Sciences and Research, Chittoor",P1
207974,M,OC,AP,B2,"Apollo Institute of Medical Sciences and Research, Chittoor",P1
208990,F,OC,AP,B2,"Apollo Institute of Medical Sciences and Research, Chittoor",P1
210614,M,OC,AP,B2,"Apollo Institute of Medical Sciences and Research, Chittoor",P1
212851,F,OC,AP,B2,"Apollo Institute of Medical Sciences and Research, Chittoor",P1
213811,F,OC,AP,B2,"Apollo Institute of Medical Sciences and Research, Chittoor",P1
215593,F,BC-A,AP,B2,"Apollo Institute of Medical Sciences and Research, Chittoor",P1
215961,M,OC,AP,B2,"Apollo Institute of Medical Sciences and Research, Chittoor",P1
219874,F,OC,AP,B2,"Apollo Institute of Medical Sciences and Research, Chittoor",P1
221095,M,OC,AP,B2,"Apollo Institute of Medical Sciences and Research, Chittoor",P1
221723,M,BC-A,AP,B2,"Apollo Institute of Medical Sciences and Research, Chittoor",P1
222602,F,OC,AP,B2,"Apollo Institute of Medical Sciences and Research, Chittoor",P1
222655,M,OC,AP,B2,"Apollo Institute of Medical Sciences and Research, Chittoor",P1
222667,F,OC,AP,B2,"Apollo Institute of Medical Sciences and Research, Chittoor",P1
231552,M,SC,AP,B2,"Apollo Institute of Medical Sciences and Research, Chittoor",P1
231865,M,BC-D,AP,B2,"Apollo Institute of Medical Sciences and Research, Chittoor",P1
234983,F,OC,AP,B2,"Apollo Institute of Medical Sciences and Research, Chittoor",P1
236562,M,SC,AP,B2,"Apollo Institute of Medical Sciences and Research, Chittoor",P1
238109,F,SC,AP,NRI,"Apollo Institute of Medical Sciences and Research, Chittoor",P1
240628,F,OC,AP,NRI,"Apollo Institute of Medical Sciences and Research, Chittoor",P1
353177,M,OC,AP,NRI,"Apollo Institute of Medical Sciences and Research, Chittoor",P1
384940,F,BC-A,AP,NRI,"Apollo Institute of Medical Sciences and Research, Chittoor",P1
432429,M,OC,AP,NRI,"Apollo Institute of Medical Sciences and Research, Chittoor",P1
495647,F,SC,AP,NRI,"Apollo Institute of Medical Sciences and Research, Chittoor",P1
500458,F,BC-A,AP,NRI,"Apollo Institute of Medical Sciences and Research, Chittoor",P1
512454,M,BC-E,AP,NRI,"Apollo Institute of Medical Sciences and Research, Chittoor",P1
537082,F,BC-B,AP,NRI,"Apollo Institute of Medical Sciences and Research, Chittoor",P1
640727,M,OC,AP,NRI,"Apollo Institute of Medical Sciences and Research, Chittoor",P1
684143,F,OC,AP,NRI,"Apollo Institute of Medical Sciences and Research, Chittoor",P1
699112,F,OC,AP,NRI,"Apollo Institute of Medical Sciences and Research, Chittoor",P1
745922,M,SC,AP,NRI,"Apollo Institute of Medical Sciences and Research, Chittoor",P1
803952,M,OC,AP,NRI,"Apollo Institute of Medical Sciences and Research, Chittoor",P1
855947,F,OC,AP,NRI,"Apollo Institute of Medical Sciences and Research, Chittoor",P1
987700,F,BC-B,AP,NRI,"Apollo Institute of Medical Sciences and Research, Chittoor",P1
5738,M,OC,AP,B1,"Dr. Pinnamaneni Siddhartha Institute of Medical Sciences, Gannavaram",P1
60407,M,OC,AP,B1,"Dr. Pinnamaneni Siddhartha Institute of Medical Sciences, Gannavaram",P1
66163,M,OC,AP,B1,"Dr. Pinnamaneni Siddhartha Institute of Medical Sciences, Gannavaram",P1
74242,F,OC,OTHERS,B1,"Dr. Pinnamaneni Siddhartha Institute of Medical Sciences, Gannavaram",P1
76064,F,OC,AP,B1,"Dr. Pinnamaneni Siddhartha Institute of Medical Sciences, Gannavaram",P1
81825,M,OC,AP,B1,"Dr. Pinnamaneni Siddhartha Institute of Medical Sciences, Gannavaram",P1
85822,F,OC,AP,B1,"Dr. Pinnamaneni Siddhartha Institute of Medical Sciences, Gannavaram",P1
88783,F,OC,OTHERS,B1,"Dr. Pinnamaneni Siddhartha Institute of Medical Sciences, Gannavaram",P1
91682,F,OC,AP,B2,"Dr. Pinnamaneni Siddhartha Institute of Medical Sciences, Gannavaram",P1
92933,M,OC,AP,B2,"Dr. Pinnamaneni Siddhartha Institute of Medical Sciences, Gannavaram",P1
93061,M,OC,AP,B2,"Dr. Pinnamaneni Siddhartha Institute of Medical Sciences, Gannavaram",P1
100599,F,OC,AP,B2,"Dr. Pinnamaneni Siddhartha Institute of Medical Sciences, Gannavaram",P1
113982,F,OC,AP,B2,"Dr. Pinnamaneni Siddhartha Institute of Medical Sciences, Gannavaram",P1
115350,M,OC,AP,B2,"Dr. Pinnamaneni Siddhartha Institute of Medical Sciences, Gannavaram",P1
117477,F,OC,AP,B2,"Dr. Pinnamaneni Siddhartha Institute of Medical Sciences, Gannavaram",P1
122925,F,BC-C,AP,B2,"Dr. Pinnamaneni Siddhartha Institute of Medical Sciences, Gannavaram",P1
125006,M,OC,AP,B2,"Dr. Pinnamaneni Siddhartha Institute of Medical Sciences, Gannavaram",P1
127742,F,OC,AP,B2,"Dr. Pinnamaneni Siddhartha Institute of Medical Sciences, Gannavaram",P1
128451,M,OC,AP,B2,"Dr. Pinnamaneni Siddhartha Institute of Medical Sciences, Gannavaram",P1
130397,F,BC-B,AP,B2,"Dr. Pinnamaneni Siddhartha Institute of Medical Sciences, Gannavaram",P1
134125,F,OC,AP,B2,"Dr. Pinnamaneni Siddhartha Institute of Medical Sciences, Gannavaram",P1
134152,F,OC,AP,B2,"Dr. Pinnamaneni Siddhartha Institute of Medical Sciences, Gannavaram",P1
138526,F,BC-B,AP,B2,"Dr. Pinnamaneni Siddhartha Institute of Medical Sciences, Gannavaram",P1
138751,M,OC,AP,B2,"Dr. Pinnamaneni Siddhartha Institute of Medical Sciences, Gannavaram",P1
138785,F,BC-D,AP,B2,"Dr. Pinnamaneni Siddhartha Institute of Medical Sciences, Gannavaram",P1
143675,M,BC-D,AP,B2,"Dr. Pinnamaneni Siddhartha Institute of Medical Sciences, Gannavaram",P1
146632,M,BC-B,AP,B2,"Dr. Pinnamaneni Siddhartha Institute of Medical Sciences, Gannavaram",P1
149197,M,BC-A,AP,B2,"Dr. Pinnamaneni Siddhartha Institute of Medical Sciences, Gannavaram",P1
150502,M,OC,AP,B2,"Dr. Pinnamaneni Siddhartha Institute of Medical Sciences, Gannavaram",P1
151124,M,OC,AP,B2,"Dr. Pinnamaneni Siddhartha Institute of Medical Sciences, Gannavaram",P1
157250,M,OC,AP,B2,"Dr. Pinnamaneni Siddhartha Institute of Medical Sciences, Gannavaram",P1
158915,M,OC,AP,B2,"Dr. Pinnamaneni Siddhartha Institute of Medical Sciences, Gannavaram",P1
161064,F,OC,AP,B2,"Dr. Pinnamaneni Siddhartha Institute of Medical Sciences, Gannavaram",P1
162906,M,BC-B,AP,B2,"Dr. Pinnamaneni Siddhartha Institute of Medical Sciences, Gannavaram",P1
165641,F,OC,AP,B2,"Dr. Pinnamaneni Siddhartha Institute of Medical Sciences, Gannavaram",P1
166388,F,OC,AP,B2,"Dr. Pinnamaneni Siddhartha Institute of Medical Sciences, Gannavaram",P1
166446,F,BC-E,AP,B2,"Dr. Pinnamaneni Siddhartha Institute of Medical Sciences, Gannavaram",P1
167505,F,OC,AP,B2,"Dr. Pinnamaneni Siddhartha Institute of Medical Sciences, Gannavaram",P1
169077,F,OC,AP,B2,"Dr. Pinnamaneni Siddhartha Institute of Medical Sciences, Gannavaram",P1
170111,F,BC-B,AP,B2,"Dr. Pinnamaneni Siddhartha Institute of Medical Sciences, Gannavaram",P1
171708,F,OC,AP,B2,"Dr. Pinnamaneni Siddhartha Institute of Medical Sciences, Gannavaram",P1
174866,M,OC,AP,B2,"Dr. Pinnamaneni Siddhartha Institute of Medical Sciences, Gannavaram",P1
175500,F,OC,AP,B2,"Dr. Pinnamaneni Siddhartha Institute of Medical Sciences, Gannavaram",P1
177599,F,OC,AP,B2,"Dr. Pinnamaneni Siddhartha Institute of Medical Sciences, Gannavaram",P1
178987,F,OC,AP,B2,"Dr. Pinnamaneni Siddhartha Institute of Medical Sciences, Gannavaram",P1
180074,F,OC,AP,B2,"Dr. Pinnamaneni Siddhartha Institute of Medical Sciences, Gannavaram",P1
180213,F,BC-B,AP,B2,"Dr. Pinnamaneni Siddhartha Institute of Medical Sciences, Gannavaram",P1
181626,F,BC-D,AP,B2,"Dr. Pinnamaneni Siddhartha Institute of Medical Sciences, Gannavaram",P1
183255,F,OC,AP,B2,"Dr. Pinnamaneni Siddhartha Institute of Medical Sciences, Gannavaram",P1
185081,M,OC,AP,B2,"Dr. Pinnamaneni Siddhartha Institute of Medical Sciences, Gannavaram",P1
186842,M,OC,AP,B2,"Dr. Pinnamaneni Siddhartha Institute of Medical Sciences, Gannavaram",P1
188616,M,BC-B,AP,B2,"Dr. Pinnamaneni Siddhartha Institute of Medical Sciences, Gannavaram",P1
189256,M,OC,AP,B2,"Dr. Pinnamaneni Siddhartha Institute of Medical Sciences, Gannavaram",P1
238260,M,BC-A,AP,NRI,"Dr. Pinnamaneni Siddhartha Institute of Medical Sciences, Gannavaram",P1
313065,F,OC,AP,NRI,"Dr. Pinnamaneni Siddhartha Institute of Medical Sciences, Gannavaram",P1
346084,M,OC,AP,NRI,"Dr. Pinnamaneni Siddhartha Institute of Medical Sciences, Gannavaram",P1
359945,F,ST,AP,NRI,"Dr. Pinnamaneni Siddhartha Institute of Medical Sciences, Gannavaram",P1
454166,M,OC,AP,NRI,"Dr. Pinnamaneni Siddhartha Institute of Medical Sciences, Gannavaram",P1
484867,F,OC,AP,NRI,"Dr. Pinnamaneni Siddhartha Institute of Medical Sciences, Gannavaram",P1
499085,F,OC,AP,NRI,"Dr. Pinnamaneni Siddhartha Institute of Medical Sciences, Gannavaram",P1
505459,M,OC,AP,NRI,"Dr. Pinnamaneni Siddhartha Institute of Medical Sciences, Gannavaram",P1
521574,F,OC,AP,NRI,"Dr. Pinnamaneni Siddhartha Institute of Medical Sciences, Gannavaram",P1
557983,M,OC,AP,NRI,"Dr. Pinnamaneni Siddhartha Institute of Medical Sciences, Gannavaram",P1
581942,M,OC,AP,NRI,"Dr. Pinnamaneni Siddhartha Institute of Medical Sciences, Gannavaram",P1
609046,F,OC,AP,NRI,"Dr. Pinnamaneni Siddhartha Institute of Medical Sciences, Gannavaram",P1
622543,M,OC,OTHERS,NRI,"Dr. Pinnamaneni Siddhartha Institute of Medical Sciences, Gannavaram",P1
809532,F,SC,AP,NRI,"Dr. Pinnamaneni Siddhartha Institute of Medical Sciences, Gannavaram",P1
826126,M,OC,AP,NRI,"Dr. Pinnamaneni Siddhartha Institute of Medical Sciences, Gannavaram",P1
936087,F,OC,AP,NRI,"Dr. Pinnamaneni Siddhartha Institute of Medical Sciences, Gannavaram",P1
154293,F,OC,OTHERS,B1,"Fathima Institute of Medical Sciences, Kadapa",P1
160549,M,OBC,OTHERS,B1,"Fathima Institute of Medical Sciences, Kadapa",P1
183783,M,K,OTHERS,B1,"Fathima Institute of Medical Sciences, Kadapa",P1
185824,F,OC,OTHERS,B1,"Fathima Institute of Medical Sciences, Kadapa",P1
202422,M,OC,OTHERS,B1,"Fathima Institute of Medical Sciences, Kadapa",P1
219386,M,OC,OTHERS,B1,"Fathima Institute of Medical Sciences, Kadapa",P1
245993,F,BC-E,AP,B1,"Fathima Institute of Medical Sciences, Kadapa",P1
255690,F,OC,OTHERS,B1,"Fathima Institute of Medical Sciences, Kadapa",P1
281539,F,BC-E,OTHERS,B1,"Fathima Institute of Medical Sciences, Kadapa",P1
290498,M,OC,AP,B1,"Fathima Institute of Medical Sciences, Kadapa",P1
298657,M,BC-E,OTHERS,B1,"Fathima Institute of Medical Sciences, Kadapa",P1
299692,M,OC,OTHERS,B1,"Fathima Institute of Medical Sciences, Kadapa",P1
301380,F,OC,OTHERS,B1,"Fathima Institute of Medical Sciences, Kadapa",P1
303295,M,BC-E,AP,B1,"Fathima Institute of Medical Sciences, Kadapa",P1
305227,M,BC-E,OTHERS,B1,"Fathima Institute of Medical Sciences, Kadapa",P1
306731,F,BC-E,AP,B1,"Fathima Institute of Medical Sciences, Kadapa",P1
307433,M,OC,OTHERS,B1,"Fathima Institute of Medical Sciences, Kadapa",P1
310353,F,OC,AP,B1,"Fathima Institute of Medical Sciences, Kadapa",P1
314102,F,BC-E,AP,B1,"Fathima Institute of Medical Sciences, Kadapa",P1
319058,M,BC-B,AP,B1,"Fathima Institute of Medical Sciences, Kadapa",P1
319408,M,BC-E,AP,B1,"Fathima Institute of Medical Sciences, Kadapa",P1
320449,F,BC-E,AP,B1,"Fathima Institute of Medical Sciences, Kadapa",P1
321786,F,OBC,OTHERS,B1,"Fathima Institute of Medical Sciences, Kadapa",P1
329303,M,BC-E,AP,B1,"Fathima Institute of Medical Sciences, Kadapa",P1
331264,F,BC-E,AP,B1,"Fathima Institute of Medical Sciences, Kadapa",P1
332771,M,OC,OTHERS,B1,"Fathima Institute of Medical Sciences, Kadapa",P1
333229,F,OC,OTHERS,B1,"Fathima Institute of Medical Sciences, Kadapa",P1
335330,M,OC,OTHERS,B1,"Fathima Institute of Medical Sciences, Kadapa",P1
338565,M,OC,OTHERS,B1,"Fathima Institute of Medical Sciences, Kadapa",P1
340556,M,BC-B,AP,B1,"Fathima Institute of Medical Sciences, Kadapa",P1
341724,F,BC-E,AP,B1,"Fathima Institute of Medical Sciences, Kadapa",P1
342026,M,BC-E,AP,B1,"Fathima Institute of Medical Sciences, Kadapa",P1
347267,F,OC,OTHERS,B1,"Fathima Institute of Medical Sciences, Kadapa",P1
347365,M,BC-E,AP,B1,"Fathima Institute of Medical Sciences, Kadapa",P1
350665,M,OC,OTHERS,B1,"Fathima Institute of Medical Sciences, Kadapa",P1
638144,M,OC,AP,NRI,"Fathima Institute of Medical Sciences, Kadapa",P1
1044800,M,BC-E,AP,NRI,"Fathima Institute of Medical Sciences, Kadapa",P1
