COLLEGE,RANK,LOC,CAT,SX,MINOR,NRI,ACDS,EWS,PHASE
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",137660,OU,OC,M,,,,,P1
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",138423,OU,OC,F,,,,,P1
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",139685,OU,OC,F,,,,,P1
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",143490,OU,OC,F,,,,,P1
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",144150,OU,OC,F,,,,,P1
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",144264,OU,BCB,F,,,,,P1
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",146602,OU,OC,F,,,,,P1
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",147844,OU,OC,F,,,,,P1
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",148850,OU,OC,F,,,,,P1
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",150016,NL,OC,F,,NRI,,,P2
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",151292,OU,OC,F,,,,,P2
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",151766,OU,OC,F,,,,,P2
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",157129,OU,OC,F,,,,,P2
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",159635,OU,OC,M,,,,,P2
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",160447,OU,OC,M,,,,,P2
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",160577,OU,OC,F,,,,,P2
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",162620,OU,OC,M,,,,,P2
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",163662,OU,OC,M,,,,,P2
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",164596,OU,OC,F,,,,,P2
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",165254,OU,OC,F,,,,,P2
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",166552,OU,OC,M,,,,,P2
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",167771,OU,BCD,F,,,,,P2
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",168081,OU,OC,F,,NRI,,,P2
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",170159,OU,OC,F,,,,,P2
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",170509,OU,OC,M,,,,,P2
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",177828,OU,BCD,F,,,,,P3
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",177933,OU,OC,F,,,,,P3
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",208911,AU,OC,F,,NRI,,,P1
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",226909,OU,OC,F,,NRI,,,P1
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",240767,OU,OC,F,,NRI,,,P1
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",243600,OU,OC,F,,NRI,,,P1
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",245558,NL,OC,F,,NRI,,,P1
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",287368,NL,OC,M,,NRI,,,P1
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",303467,NL,OC,M,,NRI,,,P1
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",308238,OU,OC,F,,NRI,,,P1
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",312934,SVU,OC,F,,NRI,,,P1
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",333186,OU,OC,M,MSM,NRI,,,P1
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",337074,OU,OC,M,,NRI,,,P3
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",344588,OU,OC,F,,NRI,,,P3
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",355631,OU,OC,F,,NRI,,,P1
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",355647,AU,OC,F,,NRI,,,P1
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",364514,NL,OC,M,,NRI,,,P1
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",378434,OU,OC,F,,NRI,,,P1
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",389402,OU,BCE,F,MSM,NRI,,,P1
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",392119,OU,OC,F,,NRI,,,P1
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",395260,OU,OC,M,,NRI,,,P1
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",409798,OU,OC,M,,NRI,,,P1
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",421811,OU,BCD,F,,NRI,,,P1
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",428325,OU,BCB,M,,NRI,,,P1
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",63725,AU,OC,F,,,,,P1
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",65471,,OC,F,,,,,P2
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",67324,AU,OC,F,,,,,P2
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",71492,AU,OC,F,,,,,P3
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",74242,NL,OC,F,,,,,P1
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",74429,NL,OC,F,,,,,P1
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",75859,NL,OC,M,,,,,P3
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",78626,AU,OC,F,,,,,P3
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",135280,OU,OC,F,,,,,P1
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",145249,OU,OC,F,,,,,P2
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",158250,OU,BCB,M,,,,,P1
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",159949,OU,OC,M,,,,,P1
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",161331,OU,OC,F,,,,,P1
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",162312,OU,OC,M,,,,,P1
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",162318,OU,OC,M,,,,,P1
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",164182,OU,OC,F,,,,,P2
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",164451,OU,OC,M,,,,,P1
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",167091,OU,OC,F,,,,,P1
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",168732,OU,BCD,F,,,,,P1
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",171411,OU,OC,F,,,,,P1
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",171463,OU,OC,F,,,,,P1
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",171760,OU,OC,M,,,,,P1
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",171929,OU,OC,F,,,,,P2
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",172047,OU,OC,F,,,,,P1
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",172551,OU,OC,F,,,,,P1
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",173783,OU,OC,F,,,,,P1
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",174596,OU,OC,F,,,,,P1
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",175470,OU,OC,F,,,,,P1
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",175853,OU,OC,F,,,,,P1
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",175942,OU,OC,M,,,,,P2
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",176946,OU,OC,F,,,,,P2
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",177685,OU,OC,F,,,,,P2
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",177747,OU,BCD,M,,,,,P2
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",177852,OU,OC,F,,,,,P2
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",178826,OU,OC,F,,,,,P2
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",178950,OU,OC,F,,,,,P2
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",179287,OU,OC,F,,,,,P2
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",180122,OU,BCB,F,,,,,P2
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",181469,OU,BCD,F,,,,,P2
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",181534,OU,OC,F,,,,,P2
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",182727,OU,OC,F,,,,,P2
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",185291,OU,OC,F,,,,,P2
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",185407,OU,BCD,F,,,,,P2
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",186647,OU,BCD,F,,,,,P2
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",187972,OU,OC,F,,,,,P2
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",187975,OU,OC,F,,,,,P2
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",188451,OU,BCB,F,,,,,P3
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",189293,OU,OC,F,,,,,P2
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",189349,OU,BCD,F,,,,,P2
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",189453,OU,BCD,F,,,,,P3
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",191809,OU,BCB,F,,,,,P3
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",194436,OU,OC,F,,,,,P3
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",294602,OU,OC,M,,NRI,,,P1
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",319017,SVU,OC,F,,NRI,,,P2
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",360212,OU,OC,F,,NRI,,,P1
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",424885,OU,OC,M,,NRI,,,P1
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",426463,OU,OC,F,,NRI,,,P3
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",429722,NL,OC,F,,NRI,,,P1
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",443225,OU,OC,F,,NRI,,,P1
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",444445,OU,OC,M,,NRI,,,P1
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",452817,OU,OC,F,,NRI,,,P1
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",481071,OU,BCB,M,,NRI,,,P2
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",483601,OU,BCD,M,,NRI,,,P2
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",486854,OU,OC,F,,NRI,,,P2
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",492307,OU,OC,F,,NRI,,,P1
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",504764,OU,OC,M,,NRI,,,P1
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",511110,OU,BCB,F,,NRI,,,P2
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",511303,OU,BCC,M,,NRI,,,P1
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",518689,OU,OC,M,,NRI,,,P1
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",522161,OU,OC,F,,NRI,,,P2
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",530196,OU,BCB,F,,NRI,,,P1
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",545601,OU,OC,F,,NRI,,,P1
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",546171,OU,BCB,M,,NRI,,,P1
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",561708,OU,BCB,M,,NRI,,,P1
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",596481,OU,OC,F,,NRI,,,P1
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",60462,NL,OC,F,,,,,P3
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",61291,NL,OC,M,,,,,P3
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",70893,NL,BCD,F,,,,,P2
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",76064,SVU,OC,F,,,,,P1
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",81557,NL,OC,F,,,,,P1
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",85748,NL,OC,M,,,,,P1
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",87464,AU,BCD,F,,,,,P3
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",90648,NL,OC,M,,,,,P3
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",126702,OU,OC,F,,,,,P1
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",156921,OU,OC,M,,,,,P1
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",163223,OU,OC,F,,,,,P2
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",172898,OU,OC,M,,,,,P1
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",175711,OU,OC,F,,,,,P1
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",178922,OU,OC,M,,,,,P1
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",179619,OU,OC,F,,,,,P1
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",180399,OU,BCD,M,,,,,P1
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",180401,OU,OC,F,,,,,P1
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",182235,OU,OC,M,,,,,P1
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",183433,OU,BCD,M,,,,,P1
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",189298,OU,OC,F,,,,,P1
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",190667,OU,BCD,M,,,,,P3
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",191801,OU,OC,F,,,,,P1
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",192174,OU,BCD,F,,,,,P1
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",192339,OU,OC,F,,,,,P1
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",193154,OU,BCD,F,,,,,P1
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",194824,OU,BCE,M,MSM,,,,P2
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",196361,OU,BCD,M,,,,,P1
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",196610,OU,BCB,F,,,,,P2
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",197085,OU,OC,F,,,,,P1
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",197455,OU,BCB,F,,,,,P1
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",197495,OU,OC,F,,,,,P1
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",197536,OU,BCB,F,,,,,P1
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",198704,OU,OC,M,,,,,P1
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",199052,OU,OC,F,,,,,P1
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",199138,OU,OC,F,,,,,P1
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",199489,OU,OC,F,,,,,P1
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",200744,OU,BCD,M,,,,,P1
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",202050,OU,OC,F,,,,,P1
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",202323,OU,BCD,F,,,,,P1
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",202854,OU,BCD,F,,,,,P1
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",204149,OU,OC,F,,,,,P2
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",204276,OU,BCD,F,,,,,P1
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",205522,OU,OC,M,,,,,P2
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",205846,OU,OC,F,,,,,P1
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",207020,OU,OC,F,,,,,P2
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",207110,OU,BCB,M,,,,,P2
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",207159,OU,BCE,F,MSM,,,,P2
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",208364,OU,OC,M,,,,,P2
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",209099,OU,OC,F,,,,,P2
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",211380,OU,OC,F,,,,,P2
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",212481,OU,BCB,F,,,,,P2
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",214034,OU,OC,F,,,,,P3
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",433965,OU,OC,F,,NRI,,,P1
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",452800,OU,OC,F,,NRI,,,P1
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",455964,OU,BCD,F,,NRI,,,P1
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",460650,OU,OC,F,,NRI,,,P1
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",463167,OU,OC,F,,NRI,,,P2
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",475145,OU,OC,F,,NRI,,,P1
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",481287,OU,OC,F,,NRI,,,P1
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",501007,AU,BCD,F,,NRI,,,P1
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",540321,,OC,M,,NRI,,,P1
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",550934,OU,ST,F,,NRI,,,P1
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",569106,OU,BCB,F,,NRI,,,P1
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",641922,OU,OC,M,,NRI,,,P1
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",644316,AU,BCB,M,,NRI,,,P1
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",647730,OU,OC,M,,NRI,,,P1
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",667965,OU,OC,F,,NRI,,,P1
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",668230,OU,SC,F,,NRI,,,P1
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",668642,OU,OC,M,,NRI,,,P1
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",672377,OU,OC,F,,NRI,,,P1
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",712207,OU,OC,F,,NRI,,,P1
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",734217,OU,OC,M,,NRI,,,P1
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",734305,OU,BCB,M,,NRI,,,P1
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",742875,OU,OC,F,,NRI,,,P1
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",816540,OU,OC,F,,NRI,,,P1
"MAMATA MEDICAL COLLEGE, KHAMMAM",75381,NL,OC,M,,,,,P1
"MAMATA MEDICAL COLLEGE, KHAMMAM",77883,,OC,M,,,,,P1
"MAMATA MEDICAL COLLEGE, KHAMMAM",86663,SVU,OC,F,,,,,P1
"MAMATA MEDICAL COLLEGE, KHAMMAM",91081,NL,OC,M,,,,,P3
"MAMATA MEDICAL COLLEGE, KHAMMAM",91864,NL,OC,M,,,,,P3
"MAMATA MEDICAL COLLEGE, KHAMMAM",93266,NL,OC,M,,,,,P3
"MAMATA MEDICAL COLLEGE, KHAMMAM",93902,NL,OC,M,,,,,P1
"MAMATA MEDICAL COLLEGE, KHAMMAM",95847,NL,OC,M,,,,,P1
"MAMATA MEDICAL COLLEGE, KHAMMAM",96774,NL,OC,F,,,,,P3
"MAMATA MEDICAL COLLEGE, KHAMMAM",98897,NL,OC,M,,,,,P1
"MAMATA MEDICAL COLLEGE, KHAMMAM",99741,NL,OC,M,,,,,P1
"MAMATA MEDICAL COLLEGE, KHAMMAM",158148,OU,OC,F,,,,,P1
"MAMATA MEDICAL COLLEGE, KHAMMAM",174396,OU,OC,F,,,,,P2
"MAMATA MEDICAL COLLEGE, KHAMMAM",191343,OU,OC,F,,,,,P1
"MAMATA MEDICAL COLLEGE, KHAMMAM",194474,OU,OC,M,,,,,P2
"MAMATA MEDICAL COLLEGE, KHAMMAM",198727,OU,BCB,F,,,,,P2
"MAMATA MEDICAL COLLEGE, KHAMMAM",200496,OU,OC,F,,,,,P2
"MAMATA MEDICAL COLLEGE, KHAMMAM",202664,OU,OC,F,,,,,P1
"MAMATA MEDICAL COLLEGE, KHAMMAM",202786,OU,OC,F,,,,,P1
"MAMATA MEDICAL COLLEGE, KHAMMAM",207616,OU,BCB,F,,,,,P2
"MAMATA MEDICAL COLLEGE, KHAMMAM",213968,OU,OC,M,,,,,P2
"MAMATA MEDICAL COLLEGE, KHAMMAM",214527,OU,OC,F,,,,,P1
"MAMATA MEDICAL COLLEGE, KHAMMAM",226633,OU,BCB,F,,,,,P1
"MAMATA MEDICAL COLLEGE, KHAMMAM",228711,OU,OC,F,,,,,P1
"MAMATA MEDICAL COLLEGE, KHAMMAM",230042,OU,OC,F,,,,,P1
"MAMATA MEDICAL COLLEGE, KHAMMAM",230448,OU,BCD,M,,,,,P1
"MAMATA MEDICAL COLLEGE, KHAMMAM",231379,OU,BCD,M,,,,,P1
"MAMATA MEDICAL COLLEGE, KHAMMAM",231715,OU,OC,M,,,,,P2
"MAMATA MEDICAL COLLEGE, KHAMMAM",232879,OU,BCD,F,,,,,P1
"MAMATA MEDICAL COLLEGE, KHAMMAM",239467,OU,OC,M,,,,,P1
"MAMATA MEDICAL COLLEGE, KHAMMAM",242643,OU,OC,F,,,,,P1
"MAMATA MEDICAL COLLEGE, KHAMMAM",243690,OU,OC,M,,,,,P2
"MAMATA MEDICAL COLLEGE, KHAMMAM",243716,OU,BCD,F,,,,,P1
"MAMATA MEDICAL COLLEGE, KHAMMAM",243717,,OC,M,,,,,P1
"MAMATA MEDICAL COLLEGE, KHAMMAM",245108,OU,OC,F,,,,,P1
"MAMATA MEDICAL COLLEGE, KHAMMAM",245225,OU,BCB,F,,,,,P2
