COLLEGE,RANK,LOC,CAT,SX,MINOR,NRI,ACDS,PHASE,Category
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",115177,OU,OC,F,NO,NO,NO,P1,B
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",115534,OU,OC,F,NO,NO,NO,P1,B
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",118613,OU,OC,F,NO,NO,NO,P1,B
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",122342,OU,OC,F,NO,NO,NO,P1,B
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",123999,OU,OC,F,NO,NO,NO,P1,B
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",125888,OU,OC,F,NO,NO,NO,P1,B
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",128142,OU,OC,F,NO,NO,NO,P1,B
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",129578,OU,OC,M,NO,NO,NO,P1,B
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",132683,OU,OC,M,NO,NO,NO,P1,B
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",133683,OU,OC,M,NO,NO,NO,P1,B
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",134102,OU,BCD,F,NO,NO,NO,P1,B
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",134323,OU,OC,F,NO,NO,NO,P1,B
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",136819,OU,OC,F,NO,NO,NO,P1,B
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",137660,OU,OC,M,NO,NO,NO,P1,B
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",138423,OU,OC,F,NO,NO,NO,P1,B
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",139685,OU,OC,F,NO,NO,NO,P1,B
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",140512,OU,OC,F,NO,NO,NO,P1,B
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",141857,OU,OC,F,NO,NO,NO,P1,B
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",143490,OU,OC,F,NO,NO,NO,P1,B
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",144150,OU,OC,F,NO,NO,NO,P1,B
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",144264,OU,BCB,F,NO,NO,NO,P1,B
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",145249,OU,OC,F,NO,NO,NO,P1,B
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",146414,OU,OC,M,NO,NO,NO,P1,B
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",146602,OU,OC,F,NO,NO,NO,P1,B
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",147844,OU,OC,F,NO,NO,NO,P1,B
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",148850,OU,OC,F,NO,NO,NO,P1,B
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",149720,OU,BCD,F,NO,NO,NO,P1,B
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",150044,OU,OC,F,NO,NO,NO,P1,B
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",150318,OU,OC,M,NO,NO,NO,P1,B
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",208911,AU,OC,F,NO,NRI,NO,P1,C
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",226909,OU,OC,F,NO,NRI,NO,P1,C
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",240767,OU,OC,F,NO,NRI,NO,P1,C
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",243600,OU,OC,F,NO,NRI,NO,P1,C
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",245558,NL,OC,F,NO,NRI,NO,P1,C
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",274837,NL,OC,F,NO,NRI,NO,P1,C
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",287368,NL,OC,M,NO,NRI,NO,P1,C
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",291267,NL,OC,F,NO,NRI,NO,P1,C
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",303467,NL,OC,M,NO,NRI,NO,P1,C
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",308238,OU,OC,F,NO,NRI,NO,P1,C
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",312934,SVU,OC,F,NO,NRI,NO,P1,C
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",333186,OU,OC,M,MSM,NRI,NO,P1,C
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",355631,OU,OC,F,NO,NRI,NO,P1,C
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",355647,AU,OC,F,NO,NRI,NO,P1,C
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",364514,NL,OC,M,NO,NRI,NO,P1,C
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",378434,OU,OC,F,NO,NRI,NO,P1,C
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",389402,OU,BCE,F,MSM,NRI,NO,P1,C
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",392119,OU,OC,F,NO,NRI,NO,P1,C
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",395260,OU,OC,M,NO,NRI,NO,P1,C
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",405094,AU,BCB,F,NO,NRI,NO,P1,C
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",409798,OU,OC,M,NO,NRI,NO,P1,C
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",421811,OU,BCD,F,NO,NRI,NO,P1,C
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",428325,OU,BCB,M,NO,NRI,NO,P1,C
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",49263,NL,OC,F,NO,NO,NO,P1,B
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",61312,AU,OC,M,NO,NO,NO,P1,B
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",63725,AU,OC,F,NO,NO,NO,P1,B
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",68913,AU,OC,F,NO,NO,NO,P1,B
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",70062,NL,OC,M,NO,NO,NO,P1,B
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",70893,NL,BCD,F,NO,NO,NO,P1,B
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",74242,NL,OC,F,NO,NO,NO,P1,B
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",74429,NL,OC,F,NO,NO,NO,P1,B
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",108822,OU,OC,M,NO,NO,NO,P1,B
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",135280,OU,OC,F,NO,NO,NO,P1,B
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",137750,OU,OC,F,NO,NO,NO,P1,B
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",138899,OU,OC,F,NO,NO,NO,P1,B
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",139563,OU,OC,F,NO,NO,NO,P1,B
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",139931,OU,BCB,F,NO,NO,NO,P1,B
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",149921,OU,OC,M,NO,NO,NO,P1,B
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",151441,OU,BCD,F,NO,NO,NO,P1,B
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",152134,OU,OC,F,NO,NO,NO,P1,B
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",152248,OU,OC,F,NO,NO,NO,P1,B
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",155181,OU,OC,F,NO,NO,NO,P1,B
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",155918,OU,BCD,F,NO,NO,NO,P1,B
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",158250,OU,BCB,M,NO,NO,NO,P1,B
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",158379,OU,OC,F,NO,NO,NO,P1,B
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",159928,OU,OC,M,NO,NO,NO,P1,B
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",159949,OU,OC,M,NO,NO,NO,P1,B
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",160447,OU,OC,M,NO,NO,NO,P1,B
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",160577,OU,OC,F,NO,NO,NO,P1,B
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",161331,OU,OC,F,NO,NO,NO,P1,B
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",161810,OU,OC,M,NO,NO,NO,P1,B
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",162312,OU,OC,M,NO,NO,NO,P1,B
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",162318,OU,OC,M,NO,NO,NO,P1,B
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",162885,OU,BCD,F,NO,NO,NO,P1,B
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",163662,OU,OC,M,NO,NO,NO,P1,B
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",164086,OU,BCD,F,NO,NO,NO,P1,B
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",164451,OU,OC,M,NO,NO,NO,P1,B
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",164596,OU,OC,F,NO,NO,NO,P1,B
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",167091,OU,OC,F,NO,NO,NO,P1,B
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",167620,OU,BCB,F,NO,NO,NO,P1,B
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",168081,OU,OC,F,NO,NRI,NO,P1,C
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",168732,OU,BCD,F,NO,NO,NO,P1,B
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",169192,OU,BCB,M,NO,NO,NO,P1,B
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",170159,OU,OC,F,NO,NO,NO,P1,B
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",171411,OU,OC,F,NO,NO,NO,P1,B
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",171463,OU,OC,F,NO,NO,NO,P1,B
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",171760,OU,OC,M,NO,NO,NO,P1,B
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",172047,OU,OC,F,NO,NO,NO,P1,B
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",172551,OU,OC,F,NO,NO,NO,P1,B
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",172604,OU,BCD,F,NO,NO,NO,P1,B
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",173783,OU,OC,F,NO,NO,NO,P1,B
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",174596,OU,OC,F,NO,NO,NO,P1,B
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",175380,OU,BCB,M,NO,NO,NO,P1,B
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",175470,OU,OC,F,NO,NO,NO,P1,B
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",175853,OU,OC,F,NO,NO,NO,P1,B
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",234349,OU,OC,F,NO,NRI,NO,P1,C
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",294602,OU,OC,M,NO,NRI,NO,P1,C
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",317822,OU,OC,F,NO,NRI,NO,P1,C
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",360212,OU,OC,F,NO,NRI,NO,P1,C
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",416790,SVU,OC,F,NO,NRI,NO,P1,C
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",424885,OU,OC,M,NO,NRI,NO,P1,C
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",429722,NL,OC,F,NO,NRI,NO,P1,C
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",443225,OU,OC,F,NO,NRI,NO,P1,C
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",444445,OU,OC,M,NO,NRI,NO,P1,C
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",452817,OU,OC,F,NO,NRI,NO,P1,C
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",458473,SVU,OC,F,NO,NRI,YES,P1,C
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",492307,OU,OC,F,NO,NRI,NO,P1,C
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",504764,OU,OC,M,NO,NRI,NO,P1,C
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",507524,AU,OC,F,NO,NRI,NO,P1,C
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",511303,OU,BCC,M,NO,NRI,NO,P1,C
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",518689,OU,OC,M,NO,NRI,NO,P1,C
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",525704,OU,OC,M,NO,NRI,NO,P1,C
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",530196,OU,BCB,F,NO,NRI,NO,P1,C
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",545601,OU,OC,F,NO,NRI,NO,P1,C
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",546171,OU,BCB,M,NO,NRI,NO,P1,C
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",561708,OU,BCB,M,NO,NRI,NO,P1,C
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",584046,NL,OC,F,MSM,NRI,NO,P1,C
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",596481,OU,OC,F,NO,NRI,NO,P1,C
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",76064,SVU,OC,F,NO,NO,NO,P1,B
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",78214,AU,OC,F,NO,NO,NO,P1,B
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",78626,AU,OC,F,NO,NO,NO,P1,B
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",79027,AU,OC,F,NO,NO,NO,P1,B
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",81557,NL,OC,F,NO,NO,NO,P1,B
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",85748,NL,OC,M,NO,NO,NO,P1,B
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",88241,NL,BCB,F,NO,NO,NO,P1,B
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",90170,NL,OC,M,NO,NO,NO,P1,B
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",126702,OU,OC,F,NO,NO,NO,P1,B
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",151292,OU,OC,F,NO,NO,NO,P1,B
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",152992,OU,OC,F,NO,NO,NO,P1,B
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",156921,OU,OC,M,NO,NO,NO,P1,B
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",157129,OU,OC,F,NO,NO,NO,P1,B
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",159635,OU,OC,M,NO,NO,NO,P1,B
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",164155,OU,BCD,M,NO,NO,NO,P1,B
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",165464,OU,BCD,F,NO,NO,NO,P1,B
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",172898,OU,OC,M,NO,NO,NO,P1,B
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",175711,OU,OC,F,NO,NO,NO,P1,B
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",177852,OU,OC,F,NO,NO,NO,P1,B
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",177933,OU,OC,F,NO,NO,NO,P1,B
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",178922,OU,OC,M,NO,NO,NO,P1,B
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",178950,OU,OC,F,NO,NO,NO,P1,B
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",179619,OU,OC,F,NO,NO,NO,P1,B
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",180399,OU,BCD,M,NO,NO,NO,P1,B
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",180401,OU,OC,F,NO,NO,NO,P1,B
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",182235,OU,OC,M,NO,NO,NO,P1,B
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",183433,OU,BCD,M,NO,NO,NO,P1,B
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",189298,OU,OC,F,NO,NO,NO,P1,B
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",190511,OU,BCB,M,NO,NO,NO,P1,B
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",191801,OU,OC,F,NO,NO,NO,P1,B
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",192038,OU,OC,M,MSM,NO,NO,P1,B
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",192174,OU,BCD,F,NO,NO,NO,P1,B
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",192339,OU,OC,F,NO,NO,NO,P1,B
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",193154,OU,BCD,F,NO,NO,NO,P1,B
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",194474,OU,OC,M,NO,NO,NO,P1,B
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",196010,OU,BCB,M,NO,NO,NO,P1,B
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",196361,OU,BCD,M,NO,NO,NO,P1,B
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",197085,OU,OC,F,NO,NO,NO,P1,B
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",197455,OU,BCB,F,NO,NO,NO,P1,B
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",197495,OU,OC,F,NO,NO,NO,P1,B
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",197536,OU,BCB,F,NO,NO,NO,P1,B
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",198704,OU,OC,M,NO,NO,NO,P1,B
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",198727,OU,BCB,F,NO,NO,NO,P1,B
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",199052,OU,OC,F,NO,NO,NO,P1,B
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",199138,OU,OC,F,NO,NO,NO,P1,B
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",199489,OU,OC,F,NO,NO,NO,P1,B
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",200744,OU,BCD,M,NO,NO,NO,P1,B
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",202050,OU,OC,F,NO,NO,NO,P1,B
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",202323,OU,BCD,F,NO,NO,NO,P1,B
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",202854,OU,BCD,F,NO,NO,NO,P1,B
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",204276,OU,BCD,F,NO,NO,NO,P1,B
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",205846,OU,OC,F,NO,NO,NO,P1,B
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",428534,OU,OC,F,NO,NRI,NO,P1,C
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",433965,OU,OC,F,NO,NRI,NO,P1,C
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",452800,OU,OC,F,NO,NRI,NO,P1,C
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",455964,OU,BCD,F,NO,NRI,NO,P1,C
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",460650,OU,OC,F,NO,NRI,NO,P1,C
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",475145,OU,OC,F,NO,NRI,NO,P1,C
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",481287,OU,OC,F,NO,NRI,NO,P1,C
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",501007,AU,BCD,F,NO,NRI,NO,P1,C
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",550934,OU,ST,F,NO,NRI,NO,P1,C
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",569106,OU,BCB,F,NO,NRI,NO,P1,C
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",641922,OU,OC,M,NO,NRI,NO,P1,C
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",644316,AU,BCB,M,NO,NRI,NO,P1,C
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",647730,OU,OC,M,NO,NRI,NO,P1,C
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",667965,OU,OC,F,NO,NRI,NO,P1,C
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",668230,OU,SC,F,NO,NRI,NO,P1,C
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",668642,OU,OC,M,NO,NRI,NO,P1,C
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",672377,OU,OC,F,NO,NRI,NO,P1,C
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",712207,OU,OC,F,NO,NRI,NO,P1,C
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",734217,OU,OC,M,NO,NRI,NO,P1,C
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",734305,OU,BCB,M,NO,NRI,NO,P1,C
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",742875,OU,OC,F,NO,NRI,NO,P1,C
"MAMATA ACADEMY OF MED SCI, BACHUPALLY",816540,OU,OC,F,NO,NRI,NO,P1,C
"MAMATA MEDICAL COLLEGE, KHAMMAM",75381,NL,OC,M,NO,NO,NO,P1,B
"MAMATA MEDICAL COLLEGE, KHAMMAM",78216,AU,OC,F,NO,NO,NO,P1,B
"MAMATA MEDICAL COLLEGE, KHAMMAM",86663,SVU,OC,F,NO,NO,NO,P1,B
"MAMATA MEDICAL COLLEGE, KHAMMAM",88864,AU,OC,F,NO,NO,NO,P1,B
"MAMATA MEDICAL COLLEGE, KHAMMAM",93734,NL,OC,F,NO,NO,NO,P1,B
"MAMATA MEDICAL COLLEGE, KHAMMAM",93902,NL,OC,M,NO,NO,NO,P1,B
