COLLEGE,RANK,LOC,CAT,SX,EWS,PHASE
"OSMANIA MEDICAL COLLEGE, HYDERABAD",16320,OU,OC,M,NO,P2
"OSMANIA MEDICAL COLLEGE, HYDERABAD",16380,OU,BCE,F,NO,P2
"OSMANIA MEDICAL COLLEGE, HYDERABAD",16563,OU,OC,M,NO,P2
"OSMANIA MEDICAL COLLEGE, HYDERABAD",16609,OU,BCD,F,NO,P2
"OSMANIA MEDICAL COLLEGE, HYDERABAD",16649,OU,OC,M,NO,P2
"OSMANIA MEDICAL COLLEGE, HYDERABAD",16726,OU,BCB,M,NO,P1
"OSMANIA MEDICAL COLLEGE, HYDERABAD",17596,OU,BCD,F,NO,P1
"OSMANIA MEDICAL COLLEGE, HYDERABAD",17616,OU,BCB,M,NO,P1
"OSMANIA MEDICAL COLLEGE, HYDERABAD",18010,OU,BCB,M,NO,P1
"OSMANIA MEDICAL COLLEGE, HYDERABAD",18220,OU,BCB,F,NO,P1
"OSMANIA MEDICAL COLLEGE, HYDERABAD",18394,OU,BCB,F,NO,P1
"OSMANIA MEDICAL COLLEGE, HYDERABAD",18467,OU,BCB,M,NO,P1
"OSMANIA MEDICAL COLLEGE, HYDERABAD",18950,OU,BCD,F,NO,P1
"OSMANIA MEDICAL COLLEGE, HYDERABAD",18988,OU,BCD,M,NO,P1
"OSMANIA MEDICAL COLLEGE, HYDERABAD",19171,OU,BCB,F,NO,P1
"OSMANIA MEDICAL COLLEGE, HYDERABAD",19256,OU,BCB,F,NO,P2
"OSMANIA MEDICAL COLLEGE, HYDERABAD",20069,OU,BCD,F,NO,P2
"OSMANIA MEDICAL COLLEGE, HYDERABAD",20497,OU,BCE,M,NO,P1
"OSMANIA MEDICAL COLLEGE, HYDERABAD",20790,OU,BCB,F,NO,P2
"OSMANIA MEDICAL COLLEGE, HYDERABAD",21255,OU,BCB,F,NO,P2
"OSMANIA MEDICAL COLLEGE, HYDERABAD",21822,SVU,BCC,M,NO,P1
"OSMANIA MEDICAL COLLEGE, HYDERABAD",22128,OU,BCB,F,NO,P2
"OSMANIA MEDICAL COLLEGE, HYDERABAD",22133,OU,BCB,F,NO,P1
"OSMANIA MEDICAL COLLEGE, HYDERABAD",22272,OU,BCD,F,NO,P2
"OSMANIA MEDICAL COLLEGE, HYDERABAD",22533,OU,BCA,M,NO,P2
"OSMANIA MEDICAL COLLEGE, HYDERABAD",22572,OU,BCB,M,NO,P1
"OSMANIA MEDICAL COLLEGE, HYDERABAD",22579,SVU,BCA,F,NO,P2
"OSMANIA MEDICAL COLLEGE, HYDERABAD",23140,OU,BCD,M,NO,P1
"OSMANIA MEDICAL COLLEGE, HYDERABAD",23522,OU,BCD,F,NO,P1
"OSMANIA MEDICAL COLLEGE, HYDERABAD",23877,OU,BCB,F,NO,P1
"OSMANIA MEDICAL COLLEGE, HYDERABAD",24033,OU,BCD,M,NO,P1
"OSMANIA MEDICAL COLLEGE, HYDERABAD",24052,NL,OC,F,NO,P1
"OSMANIA MEDICAL COLLEGE, HYDERABAD",24357,OU,BCB,M,NO,P2
"OSMANIA MEDICAL COLLEGE, HYDERABAD",24808,OU,BCD,F,NO,P1
"OSMANIA MEDICAL COLLEGE, HYDERABAD",25904,OU,BCB,F,NO,P2
"OSMANIA MEDICAL COLLEGE, HYDERABAD",25936,OU,BCB,F,NO,P2
"OSMANIA MEDICAL COLLEGE, HYDERABAD",25942,OU,BCB,M,NO,P2
"OSMANIA MEDICAL COLLEGE, HYDERABAD",26018,OU,BCD,M,NO,P2
"OSMANIA MEDICAL COLLEGE, HYDERABAD",26070,OU,BCD,M,NO,P2
"OSMANIA MEDICAL COLLEGE, HYDERABAD",26106,OU,BCE,F,NO,P1
"OSMANIA MEDICAL COLLEGE, HYDERABAD",26491,OU,BCE,M,NO,P1
"OSMANIA MEDICAL COLLEGE, HYDERABAD",26612,OU,BCD,M,NO,P2
"OSMANIA MEDICAL COLLEGE, HYDERABAD",26625,OU,BCB,M,NO,P2
"OSMANIA MEDICAL COLLEGE, HYDERABAD",26632,OU,OC,M,EWS,P2
"OSMANIA MEDICAL COLLEGE, HYDERABAD",26727,OU,BCB,F,NO,P2
"OSMANIA MEDICAL COLLEGE, HYDERABAD",27174,OU,BCD,M,NO,P2
"OSMANIA MEDICAL COLLEGE, HYDERABAD",27289,OU,OC,F,EWS,P2
"OSMANIA MEDICAL COLLEGE, HYDERABAD",27358,OU,BCB,M,NO,P2
"OSMANIA MEDICAL COLLEGE, HYDERABAD",27359,OU,BCB,M,NO,P2
"OSMANIA MEDICAL COLLEGE, HYDERABAD",27427,OU,BCD,M,NO,P2
"OSMANIA MEDICAL COLLEGE, HYDERABAD",27491,OU,BCB,F,NO,P2
"OSMANIA MEDICAL COLLEGE, HYDERABAD",27492,OU,BCE,M,NO,P1
"OSMANIA MEDICAL COLLEGE, HYDERABAD",27560,OU,OC,F,EWS,P2
"OSMANIA MEDICAL COLLEGE, HYDERABAD",28005,OU,OC,F,EWS,P2
"OSMANIA MEDICAL COLLEGE, HYDERABAD",28032,OU,BCB,M,NO,P2
"OSMANIA MEDICAL COLLEGE, HYDERABAD",28076,OU,OC,F,EWS,P2
"OSMANIA MEDICAL COLLEGE, HYDERABAD",28301,OU,OC,F,EWS,P2
"OSMANIA MEDICAL COLLEGE, HYDERABAD",28501,OU,OC,F,EWS,P2
"OSMANIA MEDICAL COLLEGE, HYDERABAD",28663,OU,BCD,F,NO,P2
"OSMANIA MEDICAL COLLEGE, HYDERABAD",29378,OU,BCD,F,NO,P2
"OSMANIA MEDICAL COLLEGE, HYDERABAD",29867,OU,BCD,F,NO,P2
"OSMANIA MEDICAL COLLEGE, HYDERABAD",29926,OU,BCD,M,NO,P2
"OSMANIA MEDICAL COLLEGE, HYDERABAD",29927,OU,BCE,F,NO,P2
"OSMANIA MEDICAL COLLEGE, HYDERABAD",30032,OU,OC,F,EWS,P2
"OSMANIA MEDICAL COLLEGE, HYDERABAD",30522,OU,OC,M,EWS,P2
"OSMANIA MEDICAL COLLEGE, HYDERABAD",31492,OU,BCE,M,NO,P2
"OSMANIA MEDICAL COLLEGE, HYDERABAD",32730,OU,BCE,F,NO,P2
"OSMANIA MEDICAL COLLEGE, HYDERABAD",33918,OU,BCE,F,NO,P2
"OSMANIA MEDICAL COLLEGE, HYDERABAD",34476,OU,BCE,F,NO,P2
"OSMANIA MEDICAL COLLEGE, HYDERABAD",39248,OU,BCA,M,NO,P1
"OSMANIA MEDICAL COLLEGE, HYDERABAD",42349,OU,BCA,F,NO,P1
"OSMANIA MEDICAL COLLEGE, HYDERABAD",42379,OU,BCA,M,NO,P1
"OSMANIA MEDICAL COLLEGE, HYDERABAD",42936,OU,SC,M,NO,P1
"OSMANIA MEDICAL COLLEGE, HYDERABAD",44818,OU,BCA,F,NO,P1
"OSMANIA MEDICAL COLLEGE, HYDERABAD",44866,OU,BCA,M,NO,P1
"OSMANIA MEDICAL COLLEGE, HYDERABAD",45981,OU,BCA,M,NO,P1
"OSMANIA MEDICAL COLLEGE, HYDERABAD",46364,AU,SC,M,NO,P2
"OSMANIA MEDICAL COLLEGE, HYDERABAD",48024,AU,SC,F,NO,P1
"OSMANIA MEDICAL COLLEGE, HYDERABAD",48043,OU,SC,M,NO,P2
"OSMANIA MEDICAL COLLEGE, HYDERABAD",48847,OU,BCA,M,NO,P1
"OSMANIA MEDICAL COLLEGE, HYDERABAD",54557,OU,BCA,F,NO,P1
"OSMANIA MEDICAL COLLEGE, HYDERABAD",57437,OU,BCA,F,NO,P1
"OSMANIA MEDICAL COLLEGE, HYDERABAD",58138,OU,BCA,M,NO,P1
"OSMANIA MEDICAL COLLEGE, HYDERABAD",61694,OU,BCA,M,NO,P1
"OSMANIA MEDICAL COLLEGE, HYDERABAD",62130,OU,SC,F,NO,P1
"OSMANIA MEDICAL COLLEGE, HYDERABAD",63049,OU,BCA,F,NO,P2
"OSMANIA MEDICAL COLLEGE, HYDERABAD",64548,OU,BCA,M,NO,P2
"OSMANIA MEDICAL COLLEGE, HYDERABAD",65035,OU,BCA,F,NO,P2
"OSMANIA MEDICAL COLLEGE, HYDERABAD",66188,OU,ST,F,NO,P2
"OSMANIA MEDICAL COLLEGE, HYDERABAD",69344,OU,BCC,F,NO,P1
"OSMANIA MEDICAL COLLEGE, HYDERABAD",70290,OU,ST,F,NO,P2
"OSMANIA MEDICAL COLLEGE, HYDERABAD",73500,OU,ST,M,NO,P2
"OSMANIA MEDICAL COLLEGE, HYDERABAD",73838,OU,ST,M,NO,P1
"OSMANIA MEDICAL COLLEGE, HYDERABAD",74016,OU,ST,F,NO,P1
"OSMANIA MEDICAL COLLEGE, HYDERABAD",74485,OU,BCA,M,NO,P2
"OSMANIA MEDICAL COLLEGE, HYDERABAD",76021,OU,ST,M,NO,P1
"OSMANIA MEDICAL COLLEGE, HYDERABAD",77741,OU,BCA,F,NO,P2
"OSMANIA MEDICAL COLLEGE, HYDERABAD",78592,OU,BCA,F,NO,P2
"OSMANIA MEDICAL COLLEGE, HYDERABAD",78891,OU,SC,F,NO,P1
"OSMANIA MEDICAL COLLEGE, HYDERABAD",79389,OU,ST,M,NO,P1
"OSMANIA MEDICAL COLLEGE, HYDERABAD",80324,OU,SC,M,NO,P1
"OSMANIA MEDICAL COLLEGE, HYDERABAD",80408,OU,ST,F,NO,P2
"OSMANIA MEDICAL COLLEGE, HYDERABAD",80593,OU,SC,F,NO,P1
"OSMANIA MEDICAL COLLEGE, HYDERABAD",80631,OU,SC,F,NO,P1
"OSMANIA MEDICAL COLLEGE, HYDERABAD",81235,OU,ST,M,NO,P1
"OSMANIA MEDICAL COLLEGE, HYDERABAD",81315,OU,SC,F,NO,P1
"OSMANIA MEDICAL COLLEGE, HYDERABAD",81333,OU,SC,F,NO,P1
"OSMANIA MEDICAL COLLEGE, HYDERABAD",81342,OU,SC,F,NO,P1
"OSMANIA MEDICAL COLLEGE, HYDERABAD",81755,OU,SC,F,NO,P1
"OSMANIA MEDICAL COLLEGE, HYDERABAD",81931,OU,SC,M,NO,P1
"OSMANIA MEDICAL COLLEGE, HYDERABAD",82253,OU,ST,F,NO,P2
"OSMANIA MEDICAL COLLEGE, HYDERABAD",83017,OU,SC,F,NO,P2
"OSMANIA MEDICAL COLLEGE, HYDERABAD",83110,OU,SC,F,NO,P1
"OSMANIA MEDICAL COLLEGE, HYDERABAD",83183,OU,SC,F,NO,P1
"OSMANIA MEDICAL COLLEGE, HYDERABAD",83316,OU,SC,M,NO,P1
"OSMANIA MEDICAL COLLEGE, HYDERABAD",84736,OU,ST,F,NO,P2
"OSMANIA MEDICAL COLLEGE, HYDERABAD",84738,OU,ST,M,NO,P1
"OSMANIA MEDICAL COLLEGE, HYDERABAD",84773,OU,SC,M,NO,P1
"OSMANIA MEDICAL COLLEGE, HYDERABAD",85022,OU,SC,M,NO,P1
"OSMANIA MEDICAL COLLEGE, HYDERABAD",85729,OU,SC,M,NO,P1
"OSMANIA MEDICAL COLLEGE, HYDERABAD",85764,OU,ST,M,NO,P2
"OSMANIA MEDICAL COLLEGE, HYDERABAD",85999,OU,SC,F,NO,P1
"OSMANIA MEDICAL COLLEGE, HYDERABAD",86018,OU,SC,M,NO,P1
"OSMANIA MEDICAL COLLEGE, HYDERABAD",86081,OU,ST,F,NO,P2
"OSMANIA MEDICAL COLLEGE, HYDERABAD",86729,OU,ST,M,NO,P2
"OSMANIA MEDICAL COLLEGE, HYDERABAD",86731,OU,SC,F,NO,P1
"OSMANIA MEDICAL COLLEGE, HYDERABAD",87431,OU,SC,M,NO,P2
"OSMANIA MEDICAL COLLEGE, HYDERABAD",87772,OU,ST,F,NO,P2
"OSMANIA MEDICAL COLLEGE, HYDERABAD",87807,OU,SC,M,NO,P2
"OSMANIA MEDICAL COLLEGE, HYDERABAD",87915,OU,SC,F,NO,P2
"OSMANIA MEDICAL COLLEGE, HYDERABAD",88410,OU,SC,M,NO,P2
"OSMANIA MEDICAL COLLEGE, HYDERABAD",89252,OU,ST,F,NO,P2
"OSMANIA MEDICAL COLLEGE, HYDERABAD",89253,OU,SC,M,NO,P2
"OSMANIA MEDICAL COLLEGE, HYDERABAD",90266,OU,ST,M,NO,P2
"OSMANIA MEDICAL COLLEGE, HYDERABAD",90498,OU,ST,F,NO,P2
"OSMANIA MEDICAL COLLEGE, HYDERABAD",90578,OU,ST,F,NO,P2
"OSMANIA MEDICAL COLLEGE, HYDERABAD",90658,OU,ST,M,NO,P2
"OSMANIA MEDICAL COLLEGE, HYDERABAD",214256,AU,BCE,F,NO,P1
"OSMANIA MEDICAL COLLEGE, HYDERABAD",263378,OU,OC,F,NO,P1
"OSMANIA MEDICAL COLLEGE, HYDERABAD",307555,OU,BCE,F,NO,P1
"OSMANIA MEDICAL COLLEGE, HYDERABAD",336204,OU,BCD,F,NO,P1
"OSMANIA MEDICAL COLLEGE, HYDERABAD",363507,OU,BCD,M,NO,P1
"OSMANIA MEDICAL COLLEGE, HYDERABAD",433555,OU,SC,M,NO,P1
"OSMANIA MEDICAL COLLEGE, HYDERABAD",586510,OU,BCD,F,NO,P2
"OSMANIA MEDICAL COLLEGE, HYDERABAD",749510,OU,SC,F,NO,P1
"OSMANIA MEDICAL COLLEGE, HYDERABAD",868669,OU,SC,F,NO,P2
"OSMANIA MEDICAL COLLEGE, HYDERABAD",2326,OU,OC,M,NO,P1
"OSMANIA MEDICAL COLLEGE, HYDERABAD",2500,OU,OC,F,NO,P1
"OSMANIA MEDICAL COLLEGE, HYDERABAD",2540,OU,OC,F,NO,P1
"OSMANIA MEDICAL COLLEGE, HYDERABAD",2546,OU,OC,M,NO,P1
"OSMANIA MEDICAL COLLEGE, HYDERABAD",2618,OU,OC,F,NO,P2
"OSMANIA MEDICAL COLLEGE, HYDERABAD",2707,OU,OC,M,NO,P2
"OSMANIA MEDICAL COLLEGE, HYDERABAD",2767,OU,OC,M,NO,P2
"OSMANIA MEDICAL COLLEGE, HYDERABAD",2789,OU,OC,F,NO,P2
"OSMANIA MEDICAL COLLEGE, HYDERABAD",2944,OU,OC,F,NO,P2
"OSMANIA MEDICAL COLLEGE, HYDERABAD",2949,AU,OC,F,NO,P2
"OSMANIA MEDICAL COLLEGE, HYDERABAD",2975,AU,OC,M,NO,P2
"OSMANIA MEDICAL COLLEGE, HYDERABAD",3054,AU,OC,F,NO,P2
"OSMANIA MEDICAL COLLEGE, HYDERABAD",3136,OU,OC,M,NO,P1
"OSMANIA MEDICAL COLLEGE, HYDERABAD",3211,OU,OC,F,NO,P1
"OSMANIA MEDICAL COLLEGE, HYDERABAD",3214,OU,OC,F,NO,P1
"OSMANIA MEDICAL COLLEGE, HYDERABAD",3225,OU,OC,M,EWS,P1
"OSMANIA MEDICAL COLLEGE, HYDERABAD",3229,OU,OC,F,NO,P1
"OSMANIA MEDICAL COLLEGE, HYDERABAD",3322,OU,OC,F,NO,P1
"OSMANIA MEDICAL COLLEGE, HYDERABAD",3328,OU,OC,F,NO,P1
"OSMANIA MEDICAL COLLEGE, HYDERABAD",3368,OU,OC,F,NO,P1
"OSMANIA MEDICAL COLLEGE, HYDERABAD",3494,OU,OC,M,NO,P1
"OSMANIA MEDICAL COLLEGE, HYDERABAD",3543,OU,OC,F,NO,P1
"OSMANIA MEDICAL COLLEGE, HYDERABAD",3612,OU,OC,M,NO,P1
"OSMANIA MEDICAL COLLEGE, HYDERABAD",3632,OU,OC,F,NO,P1
"OSMANIA MEDICAL COLLEGE, HYDERABAD",3684,OU,OC,F,NO,P1
"OSMANIA MEDICAL COLLEGE, HYDERABAD",3687,OU,BCD,F,NO,P1
"OSMANIA MEDICAL COLLEGE, HYDERABAD",3728,OU,OC,F,NO,P1
"OSMANIA MEDICAL COLLEGE, HYDERABAD",3757,OU,OC,M,NO,P1
"OSMANIA MEDICAL COLLEGE, HYDERABAD",3836,OU,BCD,M,NO,P1
"OSMANIA MEDICAL COLLEGE, HYDERABAD",3940,OU,BCB,M,NO,P1
"OSMANIA MEDICAL COLLEGE, HYDERABAD",4357,OU,OC,M,NO,P1
"OSMANIA MEDICAL COLLEGE, HYDERABAD",4582,OU,OC,F,NO,P1
"OSMANIA MEDICAL COLLEGE, HYDERABAD",4698,OU,OC,M,NO,P1
"OSMANIA MEDICAL COLLEGE, HYDERABAD",4756,OU,OC,M,NO,P1
"OSMANIA MEDICAL COLLEGE, HYDERABAD",4837,OU,OC,M,NO,P1
"OSMANIA MEDICAL COLLEGE, HYDERABAD",4879,OU,BCD,M,NO,P1
"OSMANIA MEDICAL COLLEGE, HYDERABAD",4962,OU,BCE,M,NO,P1
"OSMANIA MEDICAL COLLEGE, HYDERABAD",4981,OU,BCB,M,NO,P1
"OSMANIA MEDICAL COLLEGE, HYDERABAD",5029,OU,OC,M,NO,P1
"OSMANIA MEDICAL COLLEGE, HYDERABAD",5030,OU,BCB,F,NO,P1
"OSMANIA MEDICAL COLLEGE, HYDERABAD",5149,OU,OC,F,NO,P1
"OSMANIA MEDICAL COLLEGE, HYDERABAD",5170,OU,BCB,M,NO,P1
"OSMANIA MEDICAL COLLEGE, HYDERABAD",5202,OU,OC,M,NO,P1
"OSMANIA MEDICAL COLLEGE, HYDERABAD",5283,OU,BCB,F,NO,P1
"OSMANIA MEDICAL COLLEGE, HYDERABAD",5307,OU,OC,F,NO,P1
"OSMANIA MEDICAL COLLEGE, HYDERABAD",5395,OU,OC,M,NO,P1
"OSMANIA MEDICAL COLLEGE, HYDERABAD",5412,OU,BCD,F,NO,P2
"OSMANIA MEDICAL COLLEGE, HYDERABAD",5561,OU,BCE,M,NO,P1
"OSMANIA MEDICAL COLLEGE, HYDERABAD",5567,OU,OC,F,NO,P2
"OSMANIA MEDICAL COLLEGE, HYDERABAD",5599,OU,OC,M,NO,P1
"OSMANIA MEDICAL COLLEGE, HYDERABAD",5605,SVU,BCD,F,NO,P1
"OSMANIA MEDICAL COLLEGE, HYDERABAD",5645,OU,OC,F,NO,P2
"OSMANIA MEDICAL COLLEGE, HYDERABAD",5651,OU,OC,M,NO,P1
"OSMANIA MEDICAL COLLEGE, HYDERABAD",5687,OU,OC,M,NO,P1
"OSMANIA MEDICAL COLLEGE, HYDERABAD",5737,AU,BCE,M,NO,P1
"OSMANIA MEDICAL COLLEGE, HYDERABAD",5832,OU,BCB,M,NO,P1
"OSMANIA MEDICAL COLLEGE, HYDERABAD",5873,OU,OC,F,NO,P2
"OSMANIA MEDICAL COLLEGE, HYDERABAD",5921,OU,OC,F,EWS,P2
"OSMANIA MEDICAL COLLEGE, HYDERABAD",6006,OU,OC,F,NO,P2
"OSMANIA MEDICAL COLLEGE, HYDERABAD",6027,OU,BCA,M,NO,P1
"OSMANIA MEDICAL COLLEGE, HYDERABAD",6104,OU,OC,M,NO,P1
"OSMANIA MEDICAL COLLEGE, HYDERABAD",6146,OU,BCB,F,NO,P2
"OSMANIA MEDICAL COLLEGE, HYDERABAD",6199,OU,SC,F,NO,P2
"OSMANIA MEDICAL COLLEGE, HYDERABAD",6227,OU,OC,M,EWS,P1
"OSMANIA MEDICAL COLLEGE, HYDERABAD",6392,OU,OC,F,EWS,P1
"OSMANIA MEDICAL COLLEGE, HYDERABAD",6404,OU,BCB,M,NO,P1
"OSMANIA MEDICAL COLLEGE, HYDERABAD",6487,OU,BCD,F,NO,P1
"OSMANIA MEDICAL COLLEGE, HYDERABAD",6512,OU,OC,M,NO,P2
"OSMANIA MEDICAL COLLEGE, HYDERABAD",6628,OU,OC,F,NO,P2
"OSMANIA MEDICAL COLLEGE, HYDERABAD",6686,OU,OC,M,NO,P2
"OSMANIA MEDICAL COLLEGE, HYDERABAD",6689,OU,OC,M,NO,P2
"OSMANIA MEDICAL COLLEGE, HYDERABAD",6838,OU,BCD,F,NO,P2
"OSMANIA MEDICAL COLLEGE, HYDERABAD",6894,OU,OC,M,EWS,P2
"OSMANIA MEDICAL COLLEGE, HYDERABAD",7086,OU,OC,M,NO,P2
"OSMANIA MEDICAL COLLEGE, HYDERABAD",7208,OU,OC,M,NO,P2
"OSMANIA MEDICAL COLLEGE, HYDERABAD",7316,OU,BCB,M,NO,P2
"OSMANIA MEDICAL COLLEGE, HYDERABAD",7413,OU,BCB,F,NO,P2
"OSMANIA MEDICAL COLLEGE, HYDERABAD",7476,OU,OC,F,EWS,P2
"OSMANIA MEDICAL COLLEGE, HYDERABAD",7585,OU,OC,F,NO,P2
"OSMANIA MEDICAL COLLEGE, HYDERABAD",7667,OU,OC,M,EWS,P2
"OSMANIA MEDICAL COLLEGE, HYDERABAD",7683,OU,BCE,M,NO,P2
"OSMANIA MEDICAL COLLEGE, HYDERABAD",7684,OU,OC,F,NO,P2
"OSMANIA MEDICAL COLLEGE, HYDERABAD",7724,OU,OC,M,NO,P2
"OSMANIA MEDICAL COLLEGE, HYDERABAD",7818,OU,BCA,M,NO,P1
"OSMANIA MEDICAL COLLEGE, HYDERABAD",7892,OU,BCA,F,NO,P1
"OSMANIA MEDICAL COLLEGE, HYDERABAD",8043,OU,BCB,F,NO,P1
"OSMANIA MEDICAL COLLEGE, HYDERABAD",8054,OU,BCB,F,NO,P1
"OSMANIA MEDICAL COLLEGE, HYDERABAD",8156,OU,BCB,F,NO,P1
"OSMANIA MEDICAL COLLEGE, HYDERABAD",8257,OU,BCD,F,NO,P2
"OSMANIA MEDICAL COLLEGE, HYDERABAD",8344,OU,OC,M,EWS,P1
"OSMANIA MEDICAL COLLEGE, HYDERABAD",8370,OU,BCD,M,NO,P1
"OSMANIA MEDICAL COLLEGE, HYDERABAD",8750,OU,BCB,M,NO,P1
"OSMANIA MEDICAL COLLEGE, HYDERABAD",8887,OU,BCA,F,NO,P1
