RANK,NEET_ROLL_NO,SCORE,SX,CAT,LOC,PHASE,COLLEGE,EWS
76937,1205190441,534,F,SC,AU,P1,"Siddhartha Medical College, Vijayawada",NO
76986,4215010148,534,F,SC,OU,P1,"Siddhartha Medical College, Vijayawada",NO
79611,4201540092,531,F,BCA,OU,P1,"Siddhartha Medical College, Vijayawada",NO
80355,1201050319,530,M,BCE,AU,P1,"Siddhartha Medical College, Vijayawada",NO
81711,4201220207,529,F,BCD,OU,P1,"Siddhartha Medical College, Vijayawada",NO
83918,1205200195,526,M,SC,AU,P1,"Siddhartha Medical College, Vijayawada",NO
84119,1205020678,526,M,SC,AU,P1,"Siddhartha Medical College, Vijayawada",NO
85768,1201050047,524,M,SC,AU,P1,"Siddhartha Medical College, Vijayawada",NO
86866,1205190268,523,M,SC,AU,P1,"Siddhartha Medical College, Vijayawada",NO
88320,1205020634,522,F,SC,SVU,P1,"Siddhartha Medical College, Vijayawada",NO
88400,1205050181,521,M,SC,AU,P1,"Siddhartha Medical College, Vijayawada",NO
88691,1224060228,521,M,SC,AU,P1,"Siddhartha Medical College, Vijayawada",NO
89276,1204030449,520,F,ST,SVU,P1,"Siddhartha Medical College, Vijayawada",NO
90278,1228020016,519,F,SC,AU,P1,"Siddhartha Medical College, Vijayawada",NO
91530,1205150029,518,F,SC,AU,P1,"Siddhartha Medical College, Vijayawada",NO
91621,1205010926,518,F,SC,AU,P1,"Siddhartha Medical College, Vijayawada",NO
99600,1205120276,509,F,SC,SVU,P1,"Siddhartha Medical College, Vijayawada",NO
102340,1205180465,506,F,SC,SVU,P1,"Siddhartha Medical College, Vijayawada",NO
102547,4201440102,506,F,BCA,OU,P1,"Siddhartha Medical College, Vijayawada",NO
103710,4201160274,505,M,ST,OU,P1,"Siddhartha Medical College, Vijayawada",NO
104452,1202010629,504,M,SC,SVU,P1,"Siddhartha Medical College, Vijayawada",NO
106259,4203020118,502,F,SC,OU,P1,"Siddhartha Medical College, Vijayawada",NO
114489,1205030698,494,M,ST,SVU,P1,"Siddhartha Medical College, Vijayawada",NO
117394,4204020217,491,F,ST,OU,P1,"Siddhartha Medical College, Vijayawada",NO
118324,4205060036,490,F,SC,OU,P1,"Siddhartha Medical College, Vijayawada",NO
118837,4201160108,490,M,ST,OU,P1,"Siddhartha Medical College, Vijayawada",NO
119534,4201090567,489,F,SC,OU,P1,"Siddhartha Medical College, Vijayawada",NO
121483,4203051280,487,M,BCA,OU,P1,"Siddhartha Medical College, Vijayawada",NO
124843,1220010243,484,M,SC,OU,P1,"Siddhartha Medical College, Vijayawada",NO
127965,1205020931,481,F,SC,OU,P1,"Siddhartha Medical College, Vijayawada",NO
135569,1205170153,474,F,ST,SVU,P1,"Siddhartha Medical College, Vijayawada",NO
136322,1205080444,473,M,ST,AU,P1,"Siddhartha Medical College, Vijayawada",NO
138508,1205250178,471,F,SC,OU,P1,"Siddhartha Medical College, Vijayawada",NO
138613,1206060204,471,F,ST,AU,P1,"Siddhartha Medical College, Vijayawada",NO
142048,1206160343,468,F,ST,AU,P1,"Siddhartha Medical College, Vijayawada",NO
145225,4208020201,465,F,SC,OU,P1,"Siddhartha Medical College, Vijayawada",NO
2037,1205070240,675,F,OC,AU,P1,"Andhra Medical College, Visakhapatnam",NO
3054,1224030465,669,F,OC,AU,P1,"Andhra Medical College, Visakhapatnam",NO
3339,1205230004,666,F,BCB,AU,P1,"Andhra Medical College, Visakhapatnam",NO
3436,1228010372,666,M,OC,AU,P1,"Andhra Medical College, Visakhapatnam",NO
3489,2715060138,665,F,OC,APNL,P1,"Andhra Medical College, Visakhapatnam",NO
3560,1205180281,665,F,BCE,SVU,P1,"Andhra Medical College, Visakhapatnam",NO
3701,1216030033,665,M,OC,AU,P1,"Andhra Medical College, Visakhapatnam",NO
4127,1212050323,662,M,OC,SVU,P1,"Andhra Medical College, Visakhapatnam",NO
4414,1205200222,661,M,BCB,AU,P1,"Andhra Medical College, Visakhapatnam",NO
4760,1205160465,660,M,OC,APNL,P1,"Andhra Medical College, Visakhapatnam",NO
4857,1205200307,660,M,OC,SVU,P1,"Andhra Medical College, Visakhapatnam",NO
4888,1224020528,659,F,OC,AU,P1,"Andhra Medical College, Visakhapatnam",NO
4934,1206150165,659,F,OC,AU,P1,"Andhra Medical College, Visakhapatnam",NO
5534,1206030412,655,F,OC,AU,P1,"Andhra Medical College, Visakhapatnam",NO
5680,1205180011,655,F,OC,AU,P1,"Andhra Medical College, Visakhapatnam",NO
5805,1205050298,655,F,BCE,AU,P1,"Andhra Medical College, Visakhapatnam",NO
5844,1206020301,655,F,BCD,AU,P1,"Andhra Medical College, Visakhapatnam",NO
6134,1205260007,653,F,BCD,AU,P1,"Andhra Medical College, Visakhapatnam",NO
6263,1220020463,652,F,BCB,AU,P1,"Andhra Medical College, Visakhapatnam",NO
6503,1228010070,651,M,OC,AU,P1,"Andhra Medical College, Visakhapatnam",NO
6535,1205100114,651,F,BCB,AU,P1,"Andhra Medical College, Visakhapatnam",NO
6553,1205160336,651,M,OC,AU,P1,"Andhra Medical College, Visakhapatnam",NO
6556,1205010690,651,F,BCA,AU,P1,"Andhra Medical College, Visakhapatnam",NO
6615,1206050090,651,M,OC,AU,P1,"Andhra Medical College, Visakhapatnam",NO
6678,1201060084,651,M,OC,AU,P1,"Andhra Medical College, Visakhapatnam",NO
6719,1205200200,651,F,OC,AU,P1,"Andhra Medical College, Visakhapatnam",NO
7225,1206030258,650,M,OC,AU,P1,"Andhra Medical College, Visakhapatnam",NO
7298,1205270071,649,M,OC,AU,P1,"Andhra Medical College, Visakhapatnam",NO
7786,1205020811,647,M,OC,AU,P1,"Andhra Medical College, Visakhapatnam",NO
8116,1220060282,646,F,OC,AU,P1,"Andhra Medical College, Visakhapatnam",NO
8123,1229060146,646,F,BCD,AU,P1,"Andhra Medical College, Visakhapatnam",NO
8252,1205080327,645,F,BCD,AU,P1,"Andhra Medical College, Visakhapatnam",NO
8340,4201210129,645,M,BCB,SVU,P1,"Andhra Medical College, Visakhapatnam",NO
8358,1205160335,645,M,BCD,AU,P1,"Andhra Medical College, Visakhapatnam",NO
8443,1206010559,645,F,BCD,AU,P1,"Andhra Medical College, Visakhapatnam",NO
8593,1206090456,645,M,OC,AU,P1,"Andhra Medical College, Visakhapatnam",NO
8613,1220080226,645,F,BCE,AU,P1,"Andhra Medical College, Visakhapatnam",NO
8632,1205200039,645,M,OC,AU,P1,"Andhra Medical College, Visakhapatnam",NO
8905,1206050006,643,M,BCD,AU,P1,"Andhra Medical College, Visakhapatnam",NO
9108,1228020135,643,M,OC,AU,P1,"Andhra Medical College, Visakhapatnam",NO
9173,1224040179,642,M,OC,AU,P1,"Andhra Medical College, Visakhapatnam",NO
9319,1205030235,642,M,BCB,AU,P1,"Andhra Medical College, Visakhapatnam",NO
9438,1205040810,641,F,OC,AU,P1,"Andhra Medical College, Visakhapatnam",NO
9545,1225010353,641,M,OC,AU,P1,"Andhra Medical College, Visakhapatnam",NO
9549,1205140267,641,F,BCD,AU,P1,"Andhra Medical College, Visakhapatnam",NO
9603,1206120197,641,M,BCA,AU,P1,"Andhra Medical College, Visakhapatnam",NO
9820,1206030276,640,M,BCD,AU,P1,"Andhra Medical College, Visakhapatnam",NO
9833,1224040217,640,M,OC,AU,P1,"Andhra Medical College, Visakhapatnam",NO
9912,1205050195,640,M,OC,AU,P1,"Andhra Medical College, Visakhapatnam",NO
9976,1228020098,640,F,OC,AU,P1,"Andhra Medical College, Visakhapatnam",NO
9996,1228030027,640,M,BCD,AU,P1,"Andhra Medical College, Visakhapatnam",NO
10001,1206100358,640,F,BCD,AU,P1,"Andhra Medical College, Visakhapatnam",NO
10185,1205050593,640,M,BCE,AU,P1,"Andhra Medical College, Visakhapatnam",NO
10337,1205090037,639,M,BCB,AU,P1,"Andhra Medical College, Visakhapatnam",NO
10377,1205200175,639,M,OC,AU,P1,"Andhra Medical College, Visakhapatnam",NO
10813,1206110218,637,M,OC,AU,P1,"Andhra Medical College, Visakhapatnam",NO
10839,4201440263,637,F,BCD,OU,P1,"Andhra Medical College, Visakhapatnam",NO
11001,1205080378,637,M,BCD,AU,P1,"Andhra Medical College, Visakhapatnam",NO
11124,1206030314,636,F,BCD,AU,P1,"Andhra Medical College, Visakhapatnam",NO
11192,1205180359,636,M,BCD,AU,P1,"Andhra Medical College, Visakhapatnam",NO
11212,1224050255,636,F,OC,AU,P1,"Andhra Medical College, Visakhapatnam",NO
11379,1206160448,636,M,OC,AU,P1,"Andhra Medical College, Visakhapatnam",NO
11471,1225010063,636,F,BCD,AU,P1,"Andhra Medical College, Visakhapatnam",NO
11521,1206010460,635,M,BCD,AU,P1,"Andhra Medical College, Visakhapatnam",NO
11558,1205190372,635,M,BCA,AU,P1,"Andhra Medical College, Visakhapatnam",NO
11724,1222040164,635,F,OC,AU,P1,"Andhra Medical College, Visakhapatnam",NO
11733,1219010288,635,F,BCB,SVU,P1,"Andhra Medical College, Visakhapatnam",NO
11789,1205160362,635,F,OC,AU,P1,"Andhra Medical College, Visakhapatnam",NO
11825,1205230160,635,M,BCD,AU,P1,"Andhra Medical College, Visakhapatnam",NO
11863,1224030479,635,F,BCD,AU,P1,"Andhra Medical College, Visakhapatnam",NO
11874,1224060032,635,M,OC,AU,P1,"Andhra Medical College, Visakhapatnam",NO
11890,1206050058,635,F,BCD,AU,P1,"Andhra Medical College, Visakhapatnam",NO
11893,1229060133,635,M,BCD,AU,P1,"Andhra Medical College, Visakhapatnam",NO
11935,1205020150,635,F,BCD,AU,P1,"Andhra Medical College, Visakhapatnam",NO
11979,1205010029,635,M,BCB,SVU,P1,"Andhra Medical College, Visakhapatnam",NO
12158,4201300228,634,M,OC,AU,P1,"Andhra Medical College, Visakhapatnam",NO
12253,1205210139,634,F,OC,AU,P1,"Andhra Medical College, Visakhapatnam",NO
12254,1228040229,634,M,BCB,AU,P1,"Andhra Medical College, Visakhapatnam",NO
12476,1205070172,633,M,BCD,AU,P1,"Andhra Medical College, Visakhapatnam",NO
12577,1205190314,633,M,OC,AU,P1,"Andhra Medical College, Visakhapatnam",NO
12628,1224010406,633,M,OC,AU,P1,"Andhra Medical College, Visakhapatnam",NO
12780,1224050178,632,F,BCD,AU,P1,"Andhra Medical College, Visakhapatnam",NO
12838,1224020185,632,F,OC,AU,P1,"Andhra Medical College, Visakhapatnam",NO
12843,1205070246,632,M,BCD,AU,P1,"Andhra Medical College, Visakhapatnam",NO
12883,1206040464,632,M,BCD,AU,P1,"Andhra Medical College, Visakhapatnam",NO
12928,1205240389,632,M,BCB,AU,P1,"Andhra Medical College, Visakhapatnam",NO
12970,1206090076,632,F,BCD,AU,P1,"Andhra Medical College, Visakhapatnam",NO
13112,1205030157,632,F,BCD,AU,P1,"Andhra Medical College, Visakhapatnam",NO
13152,1205140107,631,M,BCA,AU,P1,"Andhra Medical College, Visakhapatnam",NO
13159,1205200368,631,F,OC,AU,P1,"Andhra Medical College, Visakhapatnam",NO
13382,1205090415,631,F,BCE,SVU,P1,"Andhra Medical College, Visakhapatnam",NO
13606,1228010256,630,M,BCD,AU,P1,"Andhra Medical College, Visakhapatnam",NO
13632,1205010423,630,F,BCB,AU,P1,"Andhra Medical College, Visakhapatnam",NO
13645,1205230287,630,F,BCD,AU,P1,"Andhra Medical College, Visakhapatnam",NO
13665,4205080400,630,M,BCD,AU,P1,"Andhra Medical College, Visakhapatnam",NO
13714,1205220092,630,M,BCD,AU,P1,"Andhra Medical College, Visakhapatnam",NO
13761,1205030388,630,M,BCD,AU,P1,"Andhra Medical College, Visakhapatnam",NO
13770,1206040047,630,M,BCB,AU,P1,"Andhra Medical College, Visakhapatnam",NO
14018,1206100112,630,M,BCD,AU,P1,"Andhra Medical College, Visakhapatnam",NO
14212,1205250065,629,M,OC,AU,P1,"Andhra Medical College, Visakhapatnam",NO
14241,1228010190,629,F,BCD,AU,P1,"Andhra Medical College, Visakhapatnam",NO
14551,1205230362,628,F,BCB,AU,P1,"Andhra Medical College, Visakhapatnam",NO
14655,1205090064,628,M,BCB,AU,P1,"Andhra Medical College, Visakhapatnam",NO
14709,1205240003,628,F,BCD,AU,P1,"Andhra Medical College, Visakhapatnam",NO
14722,1206050537,628,F,BCD,AU,P1,"Andhra Medical College, Visakhapatnam",NO
14822,1228040177,627,M,OC,AU,P1,"Andhra Medical College, Visakhapatnam",NO
14894,1228010277,627,F,OC,AU,P1,"Andhra Medical College, Visakhapatnam",NO
14932,1205010471,627,M,OC,AU,P1,"Andhra Medical College, Visakhapatnam",NO
15250,1205070140,626,F,BCA,AU,P1,"Andhra Medical College, Visakhapatnam",NO
15576,1205250231,626,F,BCD,AU,P1,"Andhra Medical College, Visakhapatnam",NO
15704,1205100090,625,M,OC,AU,P1,"Andhra Medical College, Visakhapatnam",NO
15726,1205050620,625,M,OC,AU,P1,"Andhra Medical College, Visakhapatnam",NO
15729,1205160315,625,F,OC,AU,P1,"Andhra Medical College, Visakhapatnam",NO
15773,1206090331,625,F,OC,AU,P1,"Andhra Medical College, Visakhapatnam",NO
15780,1206070211,625,F,OC,AU,P1,"Andhra Medical College, Visakhapatnam",NO
16108,1228010343,625,M,BCA,AU,P1,"Andhra Medical College, Visakhapatnam",NO
16217,1206040180,625,M,BCB,AU,P1,"Andhra Medical College, Visakhapatnam",NO
16682,1205040600,624,M,OC,AU,P1,"Andhra Medical College, Visakhapatnam",NO
16825,1224060017,623,F,OC,AU,P1,"Andhra Medical College, Visakhapatnam",NO
16988,1205060307,623,F,OC,AU,P1,"Andhra Medical College, Visakhapatnam",NO
16989,1228010246,623,M,BCB,AU,P1,"Andhra Medical College, Visakhapatnam",NO
17020,1229060100,623,M,OC,AU,P1,"Andhra Medical College, Visakhapatnam",NO
17103,1205160284,622,F,OC,AU,P1,"Andhra Medical College, Visakhapatnam",NO
17118,1225020071,622,F,BCB,AU,P1,"Andhra Medical College, Visakhapatnam",NO
17247,1205010971,622,M,OC,AU,P1,"Andhra Medical College, Visakhapatnam",NO
17522,1206030325,622,F,SC,AU,P1,"Andhra Medical College, Visakhapatnam",NO
17581,1206090152,621,M,BCA,AU,P1,"Andhra Medical College, Visakhapatnam",NO
17775,1205130207,621,M,OC,AU,P1,"Andhra Medical College, Visakhapatnam",NO
17844,1205140225,621,M,OC,AU,P1,"Andhra Medical College, Visakhapatnam",NO
17888,1205270045,621,M,BCA,AU,P1,"Andhra Medical College, Visakhapatnam",NO
18082,1205270005,620,M,OC,AU,P1,"Andhra Medical College, Visakhapatnam",NO
18181,1205070516,620,F,OC,AU,P1,"Andhra Medical College, Visakhapatnam",NO
18227,1206090068,620,F,BCB,AU,P1,"Andhra Medical College, Visakhapatnam",NO
18357,1205080413,620,M,OC,AU,P1,"Andhra Medical College, Visakhapatnam",NO
18762,1206160329,619,F,BCB,AU,P1,"Andhra Medical College, Visakhapatnam",NO
18944,1206040013,619,F,BCB,AU,P1,"Andhra Medical College, Visakhapatnam",NO
19119,1206080257,618,F,BCB,AU,P1,"Andhra Medical College, Visakhapatnam",NO
19199,1220030173,618,F,BCA,AU,P1,"Andhra Medical College, Visakhapatnam",NO
21166,1220040252,614,F,BCB,AU,P1,"Andhra Medical College, Visakhapatnam",NO
21517,1206100387,613,M,BCB,AU,P1,"Andhra Medical College, Visakhapatnam",NO
21672,1206020277,613,F,BCA,AU,P1,"Andhra Medical College, Visakhapatnam",NO
21735,1205150381,613,M,SC,SVU,P1,"Andhra Medical College, Visakhapatnam",NO
22044,1206100401,612,F,BCE,AU,P1,"Andhra Medical College, Visakhapatnam",NO
22113,1205160455,612,M,BCB,AU,P1,"Andhra Medical College, Visakhapatnam",NO
22224,1205020309,612,M,BCA,AU,P1,"Andhra Medical College, Visakhapatnam",NO
22315,1224010129,612,M,BCB,AU,P1,"Andhra Medical College, Visakhapatnam",NO
26688,1206020267,604,F,BCA,AU,P1,"Andhra Medical College, Visakhapatnam",NO
27058,4203020332,603,M,BCE,AU,P1,"Andhra Medical College, Visakhapatnam",NO
27077,1206010782,603,F,BCA,AU,P1,"Andhra Medical College, Visakhapatnam",NO
29393,1206150074,599,F,BCA,AU,P1,"Andhra Medical College, Visakhapatnam",NO
30472,1206040067,597,M,BCA,AU,P1,"Andhra Medical College, Visakhapatnam",NO
30641,1206090030,597,F,BCA,AU,P1,"Andhra Medical College, Visakhapatnam",NO
31456,1229060233,596,F,BCA,AU,P1,"Andhra Medical College, Visakhapatnam",NO
33235,1225050068,593,M,SC,AU,P1,"Andhra Medical College, Visakhapatnam",NO
34134,1205010567,591,F,BCC,AU,P1,"Andhra Medical College, Visakhapatnam",NO
34263,1220020002,591,F,SC,AU,P1,"Andhra Medical College, Visakhapatnam",NO
35345,4204050208,590,M,SC,AU,P1,"Andhra Medical College, Visakhapatnam",NO
35536,1224050252,589,F,SC,AU,P1,"Andhra Medical College, Visakhapatnam",NO
40152,1228010126,582,M,BCE,AU,P1,"Andhra Medical College, Visakhapatnam",NO
42532,1228040132,579,M,SC,AU,P1,"Andhra Medical College, Visakhapatnam",NO
42605,1213011026,579,M,BCE,AU,P1,"Andhra Medical College, Visakhapatnam",NO
44218,1205020030,576,M,BCE,AU,P1,"Andhra Medical College, Visakhapatnam",NO
44226,1205090467,576,M,SC,AU,P1,"Andhra Medical College, Visakhapatnam",NO
44883,1205060429,575,M,SC,AU,P1,"Andhra Medical College, Visakhapatnam",NO
45168,1202010837,575,M,SC,AU,P1,"Andhra Medical College, Visakhapatnam",NO
46364,1206020404,573,M,SC,AU,P1,"Andhra Medical College, Visakhapatnam",NO
46564,1228020015,573,F,SC,AU,P1,"Andhra Medical College, Visakhapatnam",NO
47670,1228040166,571,M,SC,AU,P1,"Andhra Medical College, Visakhapatnam",NO
48591,1205030293,570,M,SC,AU,P1,"Andhra Medical College, Visakhapatnam",NO
55640,1206010571,561,F,SC,AU,P1,"Andhra Medical College, Visakhapatnam",NO
56099,1228010125,560,F,SC,AU,P1,"Andhra Medical College, Visakhapatnam",NO
57331,1222020339,559,F,SC,AU,P1,"Andhra Medical College, Visakhapatnam",NO
58176,1228010375,557,F,SC,AU,P1,"Andhra Medical College, Visakhapatnam",NO
58178,1205110070,557,F,SC,AU,P1,"Andhra Medical College, Visakhapatnam",NO
60584,1222030036,554,F,SC,AU,P1,"Andhra Medical College, Visakhapatnam",NO
61359,1205160283,553,F,SC,AU,P1,"Andhra Medical College, Visakhapatnam",NO
