COLLEGE,RANK,NEET_ROLL_NO,SCORE,SX,CAT,LOC,PHASE,EWS
"Siddhartha Medical College, Vijayawada",26958,4204030088,603,M,OC,OUAPNL,P1,NO
"Siddhartha Medical College, Vijayawada",27008,4201120089,603,M,OC,OU,P1,NO
"Siddhartha Medical College, Vijayawada",27532,1208010355,602,F,OC,AU,P1,NO
"Siddhartha Medical College, Vijayawada",27988,1205050621,601,M,OC,AU,P1,NO
"Siddhartha Medical College, Vijayawada",28035,1224080038,601,F,OC,AU,P1,NO
"Siddhartha Medical College, Vijayawada",28150,1205040728,601,M,OC,AU,P1,NO
"Siddhartha Medical College, Vijayawada",28390,4201330043,601,M,OC,OUAPNL,P1,NO
"Siddhartha Medical College, Vijayawada",28523,1205230315,601,F,OC,AU,P1,NO
"Siddhartha Medical College, Vijayawada",28663,4201040184,600,F,BCD,OU,P1,NO
"Siddhartha Medical College, Vijayawada",29163,1205060499,600,F,OC,SVU,P1,NO
"Siddhartha Medical College, Vijayawada",29704,4201400196,599,M,OC,OU,P1,NO
"Siddhartha Medical College, Vijayawada",30000,1205040157,598,M,BCD,AU,P1,NO
"Siddhartha Medical College, Vijayawada",30490,1206010307,597,M,BCD,AU,P1,NO
"Siddhartha Medical College, Vijayawada",30754,1229040187,597,F,BCD,AU,P1,NO
"Siddhartha Medical College, Vijayawada",30931,1206070461,596,F,BCD,AU,P1,NO
"Siddhartha Medical College, Vijayawada",31128,1228030018,596,M,BCD,AU,P1,NO
"Siddhartha Medical College, Vijayawada",31758,1205240206,595,M,BCD,AU,P1,NO
"Siddhartha Medical College, Vijayawada",31762,1229010073,595,F,BCD,AU,P1,NO
"Siddhartha Medical College, Vijayawada",31802,4201420163,595,F,OC,SVU,P1,NO
"Siddhartha Medical College, Vijayawada",31834,1206110182,595,F,BCD,AU,P1,NO
"Siddhartha Medical College, Vijayawada",32005,1206100246,595,F,BCD,AU,P1,NO
"Siddhartha Medical College, Vijayawada",32032,4201280415,595,F,OC,OU,P1,NO
"Siddhartha Medical College, Vijayawada",32539,1205160147,594,F,OC,SVU,P1,NO
"Siddhartha Medical College, Vijayawada",32643,4201520129,594,F,OC,OU,P1,NO
"Siddhartha Medical College, Vijayawada",33225,1205260069,593,F,OC,SVU,P1,NO
"Siddhartha Medical College, Vijayawada",33469,1203060366,592,F,OC,SVU,P1,NO
"Siddhartha Medical College, Vijayawada",35417,1205020359,590,F,OC,SVU,P1,NO
"Siddhartha Medical College, Vijayawada",35622,4201430174,589,M,BCB,OU,P1,NO
"Siddhartha Medical College, Vijayawada",36266,1205050140,588,F,BCC,AU,P1,NO
"Siddhartha Medical College, Vijayawada",39470,4219040008,583,M,BCB,OU,P1,NO
"Siddhartha Medical College, Vijayawada",40236,4201040276,582,F,BCB,OU,P1,NO
"Siddhartha Medical College, Vijayawada",42047,1205050176,580,M,BCD,OU,P1,NO
"Siddhartha Medical College, Vijayawada",42420,4219090035,579,F,BCB,OU,P1,NO
"Siddhartha Medical College, Vijayawada",43655,1205060403,577,F,BCB,AU,P1,NO
"Siddhartha Medical College, Vijayawada",44810,1203010351,575,F,BCD,SVU,P1,NO
"Siddhartha Medical College, Vijayawada",44986,4219090130,575,F,OC,OU,P1,NO
"Siddhartha Medical College, Vijayawada",45670,1205120256,574,F,BCB,AU,P1,NO
"Siddhartha Medical College, Vijayawada",45721,1205210368,574,M,BCB,AU,P1,NO
"Siddhartha Medical College, Vijayawada",45981,4201390189,574,M,BCA,OU,P1,NO
"Siddhartha Medical College, Vijayawada",47226,1222010377,572,M,BCA,AU,P1,NO
"Siddhartha Medical College, Vijayawada",47854,1228020003,571,F,BCB,AU,P1,NO
"Siddhartha Medical College, Vijayawada",48065,1205210054,571,F,BCA,AU,P1,NO
"Siddhartha Medical College, Vijayawada",48377,1222020140,570,M,BCA,AU,P1,NO
"Siddhartha Medical College, Vijayawada",48416,1205080103,570,F,BCB,AU,P1,NO
"Siddhartha Medical College, Vijayawada",48454,4201150113,570,M,OC,OU,P1,NO
"Siddhartha Medical College, Vijayawada",48892,1206150033,570,F,BCB,AU,P1,NO
"Siddhartha Medical College, Vijayawada",49212,1206030377,569,F,BCA,AU,P1,NO
"Siddhartha Medical College, Vijayawada",49883,1206080231,568,F,BCA,AU,P1,NO
"Siddhartha Medical College, Vijayawada",49893,1224030028,568,F,BCB,AU,P1,NO
"Siddhartha Medical College, Vijayawada",49962,1220050027,568,F,BCA,AU,P1,NO
"Siddhartha Medical College, Vijayawada",50772,4203051324,567,M,BCB,OU,P1,NO
"Siddhartha Medical College, Vijayawada",51034,2713080197,567,M,BCE,APNL,P1,NO
"Siddhartha Medical College, Vijayawada",51094,1205260198,567,M,BCE,APNL,P1,NO
"Siddhartha Medical College, Vijayawada",51310,1204040183,566,F,BCD,SVU,P1,NO
"Siddhartha Medical College, Vijayawada",52115,1203060006,565,M,BCD,SVU,P1,NO
"Siddhartha Medical College, Vijayawada",52522,4201370079,565,M,BCB,SVU,P1,NO
"Siddhartha Medical College, Vijayawada",53606,1219020079,563,F,BCB,SVU,P1,NO
"Siddhartha Medical College, Vijayawada",54318,1203030463,562,F,BCB,SVU,P1,NO
"Siddhartha Medical College, Vijayawada",54473,1205100110,562,M,BCB,SVU,P1,NO
"Siddhartha Medical College, Vijayawada",56124,4204010147,560,F,BCB,OU,P1,NO
"Siddhartha Medical College, Vijayawada",56728,4201140644,559,M,BCD,OU,P1,NO
"Siddhartha Medical College, Vijayawada",56736,4223020183,559,F,BCE,OU,P1,NO
"Siddhartha Medical College, Vijayawada",57794,4219020063,558,F,OC,OU,P1,NO
"Siddhartha Medical College, Vijayawada",59641,4201010412,555,M,BCB,OU,P1,NO
"Siddhartha Medical College, Vijayawada",59756,1205260119,555,M,BCA,SVU,P1,NO
"Siddhartha Medical College, Vijayawada",61013,1205090072,554,M,BCA,SVU,P1,NO
"Siddhartha Medical College, Vijayawada",61939,1205240285,553,F,BCE,AU,P1,NO
"Siddhartha Medical College, Vijayawada",62878,1202050091,551,F,BCA,SVU,P1,NO
"Siddhartha Medical College, Vijayawada",62896,4201130006,551,F,BCB,OU,P1,NO
"Siddhartha Medical College, Vijayawada",63827,1205250050,550,F,BCE,SVU,P1,NO
"Siddhartha Medical College, Vijayawada",63963,4203010308,550,F,BCE,OU,P1,NO
"Siddhartha Medical College, Vijayawada",64648,1205040517,549,F,BCA,SVU,P1,NO
"Siddhartha Medical College, Vijayawada",65050,1201100109,549,M,BCE,AU,P1,NO
"Siddhartha Medical College, Vijayawada",66115,4201430296,547,F,BCD,OU,P1,NO
"Siddhartha Medical College, Vijayawada",69344,4219080120,543,F,BCC,OU,P1,NO
"Siddhartha Medical College, Vijayawada",69883,4205090087,543,F,OC,OU,P1,NO
"Siddhartha Medical College, Vijayawada",71007,4203050986,541,F,OC,OU,P1,NO
"Siddhartha Medical College, Vijayawada",71385,4219010251,541,F,OC,OU,P1,NO
"Siddhartha Medical College, Vijayawada",76937,1205190441,534,F,SC,AU,P1,NO
"Siddhartha Medical College, Vijayawada",76986,4215010148,534,F,SC,OU,P1,NO
"Siddhartha Medical College, Vijayawada",79611,4201540092,531,F,BCA,OU,P1,NO
"Siddhartha Medical College, Vijayawada",80355,1201050319,530,M,BCE,AU,P1,NO
"Siddhartha Medical College, Vijayawada",81711,4201220207,529,F,BCD,OU,P1,NO
"Siddhartha Medical College, Vijayawada",83918,1205200195,526,M,SC,AU,P1,NO
"Siddhartha Medical College, Vijayawada",84119,1205020678,526,M,SC,AU,P1,NO
"Siddhartha Medical College, Vijayawada",85768,1201050047,524,M,SC,AU,P1,NO
"Siddhartha Medical College, Vijayawada",86866,1205190268,523,M,SC,AU,P1,NO
"Siddhartha Medical College, Vijayawada",88320,1205020634,522,F,SC,SVU,P1,NO
"Siddhartha Medical College, Vijayawada",88400,1205050181,521,M,SC,AU,P1,NO
"Siddhartha Medical College, Vijayawada",88691,1224060228,521,M,SC,AU,P1,NO
"Siddhartha Medical College, Vijayawada",89276,1204030449,520,F,ST,SVU,P1,NO
"Siddhartha Medical College, Vijayawada",90278,1228020016,519,F,SC,AU,P1,NO
"Siddhartha Medical College, Vijayawada",91530,1205150029,518,F,SC,AU,P1,NO
"Siddhartha Medical College, Vijayawada",91621,1205010926,518,F,SC,AU,P1,NO
"Siddhartha Medical College, Vijayawada",99600,1205120276,509,F,SC,SVU,P1,NO
"Siddhartha Medical College, Vijayawada",102340,1205180465,506,F,SC,SVU,P1,NO
"Siddhartha Medical College, Vijayawada",102547,4201440102,506,F,BCA,OU,P1,NO
"Siddhartha Medical College, Vijayawada",103710,4201160274,505,M,ST,OU,P1,NO
"Siddhartha Medical College, Vijayawada",104452,1202010629,504,M,SC,SVU,P1,NO
"Siddhartha Medical College, Vijayawada",106259,4203020118,502,F,SC,OU,P1,NO
"Siddhartha Medical College, Vijayawada",114489,1205030698,494,M,ST,SVU,P1,NO
"Siddhartha Medical College, Vijayawada",117394,4204020217,491,F,ST,OU,P1,NO
"Siddhartha Medical College, Vijayawada",118324,4205060036,490,F,SC,OU,P1,NO
"Siddhartha Medical College, Vijayawada",118837,4201160108,490,M,ST,OU,P1,NO
"Siddhartha Medical College, Vijayawada",119534,4201090567,489,F,SC,OU,P1,NO
"Siddhartha Medical College, Vijayawada",121483,4203051280,487,M,BCA,OU,P1,NO
"Siddhartha Medical College, Vijayawada",124843,1220010243,484,M,SC,OU,P1,NO
"Siddhartha Medical College, Vijayawada",127965,1205020931,481,F,SC,OU,P1,NO
"Siddhartha Medical College, Vijayawada",135569,1205170153,474,F,ST,SVU,P1,NO
"Siddhartha Medical College, Vijayawada",136322,1205080444,473,M,ST,AU,P1,NO
"Siddhartha Medical College, Vijayawada",138508,1205250178,471,F,SC,OU,P1,NO
"Siddhartha Medical College, Vijayawada",138613,1206060204,471,F,ST,AU,P1,NO
"Siddhartha Medical College, Vijayawada",142048,1206160343,468,F,ST,AU,P1,NO
"Siddhartha Medical College, Vijayawada",145225,4208020201,465,F,SC,OU,P1,NO
"Siddhartha Medical College, Vijayawada",295022,1225010244,361,M,BCD,AU,P1,NO
"Siddhartha Medical College, Vijayawada",460317,4215010512,283,M,BCD,OU,P1,NO
"Siddhartha Medical College, Vijayawada",494472,1224010245,270,F,OC,AU,P1,NO
"Siddhartha Medical College, Vijayawada",516644,1204030553,262,F,OC,SVU,P1,NO
"Siddhartha Medical College, Vijayawada",978609,4201130609,143,M,OC,OU,P1,NO
"Andhra Medical College, Visakhapatnam",2037,1205070240,675,F,OC,AU,P1,NO
"Andhra Medical College, Visakhapatnam",3054,1224030465,669,F,OC,AU,P1,NO
"Andhra Medical College, Visakhapatnam",3339,1205230004,666,F,BCB,AU,P1,NO
"Andhra Medical College, Visakhapatnam",3436,1228010372,666,M,OC,AU,P1,NO
"Andhra Medical College, Visakhapatnam",3489,2715060138,665,F,OC,APNL,P1,NO
"Andhra Medical College, Visakhapatnam",3560,1205180281,665,F,BCE,SVU,P1,NO
"Andhra Medical College, Visakhapatnam",3701,1216030033,665,M,OC,AU,P1,NO
"Andhra Medical College, Visakhapatnam",4127,1212050323,662,M,OC,SVU,P1,NO
"Andhra Medical College, Visakhapatnam",4414,1205200222,661,M,BCB,AU,P1,NO
"Andhra Medical College, Visakhapatnam",4760,1205160465,660,M,OC,APNL,P1,NO
"Andhra Medical College, Visakhapatnam",4857,1205200307,660,M,OC,SVU,P1,NO
"Andhra Medical College, Visakhapatnam",4888,1224020528,659,F,OC,AU,P1,NO
"Andhra Medical College, Visakhapatnam",4934,1206150165,659,F,OC,AU,P1,NO
"Andhra Medical College, Visakhapatnam",5534,1206030412,655,F,OC,AU,P1,NO
"Andhra Medical College, Visakhapatnam",5680,1205180011,655,F,OC,AU,P1,NO
"Andhra Medical College, Visakhapatnam",5805,1205050298,655,F,BCE,AU,P1,NO
"Andhra Medical College, Visakhapatnam",5844,1206020301,655,F,BCD,AU,P1,NO
"Andhra Medical College, Visakhapatnam",6134,1205260007,653,F,BCD,AU,P1,NO
"Andhra Medical College, Visakhapatnam",6263,1220020463,652,F,BCB,AU,P1,NO
"Andhra Medical College, Visakhapatnam",6503,1228010070,651,M,OC,AU,P1,NO
"Andhra Medical College, Visakhapatnam",6535,1205100114,651,F,BCB,AU,P1,NO
"Andhra Medical College, Visakhapatnam",6553,1205160336,651,M,OC,AU,P1,NO
"Andhra Medical College, Visakhapatnam",6556,1205010690,651,F,BCA,AU,P1,NO
"Andhra Medical College, Visakhapatnam",6615,1206050090,651,M,OC,AU,P1,NO
"Andhra Medical College, Visakhapatnam",6678,1201060084,651,M,OC,AU,P1,NO
"Andhra Medical College, Visakhapatnam",6719,1205200200,651,F,OC,AU,P1,NO
"Andhra Medical College, Visakhapatnam",7225,1206030258,650,M,OC,AU,P1,NO
"Andhra Medical College, Visakhapatnam",7298,1205270071,649,M,OC,AU,P1,NO
"Andhra Medical College, Visakhapatnam",7786,1205020811,647,M,OC,AU,P1,NO
"Andhra Medical College, Visakhapatnam",8116,1220060282,646,F,OC,AU,P1,NO
"Andhra Medical College, Visakhapatnam",8123,1229060146,646,F,BCD,AU,P1,NO
"Andhra Medical College, Visakhapatnam",8252,1205080327,645,F,BCD,AU,P1,NO
"Andhra Medical College, Visakhapatnam",8340,4201210129,645,M,BCB,SVU,P1,NO
"Andhra Medical College, Visakhapatnam",8358,1205160335,645,M,BCD,AU,P1,NO
"Andhra Medical College, Visakhapatnam",8443,1206010559,645,F,BCD,AU,P1,NO
"Andhra Medical College, Visakhapatnam",8593,1206090456,645,M,OC,AU,P1,NO
"Andhra Medical College, Visakhapatnam",8613,1220080226,645,F,BCE,AU,P1,NO
"Andhra Medical College, Visakhapatnam",8632,1205200039,645,M,OC,AU,P1,NO
"Andhra Medical College, Visakhapatnam",8905,1206050006,643,M,BCD,AU,P1,NO
"Andhra Medical College, Visakhapatnam",9108,1228020135,643,M,OC,AU,P1,NO
"Andhra Medical College, Visakhapatnam",9173,1224040179,642,M,OC,AU,P1,NO
"Andhra Medical College, Visakhapatnam",9319,1205030235,642,M,BCB,AU,P1,NO
"Andhra Medical College, Visakhapatnam",9438,1205040810,641,F,OC,AU,P1,NO
"Andhra Medical College, Visakhapatnam",9545,1225010353,641,M,OC,AU,P1,NO
"Andhra Medical College, Visakhapatnam",9549,1205140267,641,F,BCD,AU,P1,NO
"Andhra Medical College, Visakhapatnam",9603,1206120197,641,M,BCA,AU,P1,NO
"Andhra Medical College, Visakhapatnam",9820,1206030276,640,M,BCD,AU,P1,NO
"Andhra Medical College, Visakhapatnam",9833,1224040217,640,M,OC,AU,P1,NO
"Andhra Medical College, Visakhapatnam",9912,1205050195,640,M,OC,AU,P1,NO
"Andhra Medical College, Visakhapatnam",9976,1228020098,640,F,OC,AU,P1,NO
"Andhra Medical College, Visakhapatnam",9996,1228030027,640,M,BCD,AU,P1,NO
"Andhra Medical College, Visakhapatnam",10001,1206100358,640,F,BCD,AU,P1,NO
"Andhra Medical College, Visakhapatnam",10185,1205050593,640,M,BCE,AU,P1,NO
"Andhra Medical College, Visakhapatnam",10337,1205090037,639,M,BCB,AU,P1,NO
"Andhra Medical College, Visakhapatnam",10377,1205200175,639,M,OC,AU,P1,NO
"Andhra Medical College, Visakhapatnam",10813,1206110218,637,M,OC,AU,P1,NO
"Andhra Medical College, Visakhapatnam",10839,4201440263,637,F,BCD,OU,P1,NO
"Andhra Medical College, Visakhapatnam",11001,1205080378,637,M,BCD,AU,P1,NO
"Andhra Medical College, Visakhapatnam",11124,1206030314,636,F,BCD,AU,P1,NO
"Andhra Medical College, Visakhapatnam",11192,1205180359,636,M,BCD,AU,P1,NO
"Andhra Medical College, Visakhapatnam",11212,1224050255,636,F,OC,AU,P1,NO
"Andhra Medical College, Visakhapatnam",11379,1206160448,636,M,OC,AU,P1,NO
"Andhra Medical College, Visakhapatnam",11471,1225010063,636,F,BCD,AU,P1,NO
"Andhra Medical College, Visakhapatnam",11521,1206010460,635,M,BCD,AU,P1,NO
"Andhra Medical College, Visakhapatnam",11558,1205190372,635,M,BCA,AU,P1,NO
"Andhra Medical College, Visakhapatnam",11724,1222040164,635,F,OC,AU,P1,NO
"Andhra Medical College, Visakhapatnam",11733,1219010288,635,F,BCB,SVU,P1,NO
"Andhra Medical College, Visakhapatnam",11789,1205160362,635,F,OC,AU,P1,NO
"Andhra Medical College, Visakhapatnam",11825,1205230160,635,M,BCD,AU,P1,NO
"Andhra Medical College, Visakhapatnam",11863,1224030479,635,F,BCD,AU,P1,NO
"Andhra Medical College, Visakhapatnam",11874,1224060032,635,M,OC,AU,P1,NO
"Andhra Medical College, Visakhapatnam",11890,1206050058,635,F,BCD,AU,P1,NO
"Andhra Medical College, Visakhapatnam",11893,1229060133,635,M,BCD,AU,P1,NO
"Andhra Medical College, Visakhapatnam",11935,1205020150,635,F,BCD,AU,P1,NO
"Andhra Medical College, Visakhapatnam",11979,1205010029,635,M,BCB,SVU,P1,NO
"Andhra Medical College, Visakhapatnam",12158,4201300228,634,M,OC,AU,P1,NO
"Andhra Medical College, Visakhapatnam",12253,1205210139,634,F,OC,AU,P1,NO
"Andhra Medical College, Visakhapatnam",12254,1228040229,634,M,BCB,AU,P1,NO
"Andhra Medical College, Visakhapatnam",12476,1205070172,633,M,BCD,AU,P1,NO
"Andhra Medical College, Visakhapatnam",12577,1205190314,633,M,OC,AU,P1,NO
"Andhra Medical College, Visakhapatnam",12628,1224010406,633,M,OC,AU,P1,NO
"Andhra Medical College, Visakhapatnam",12780,1224050178,632,F,BCD,AU,P1,NO
"Andhra Medical College, Visakhapatnam",12838,1224020185,632,F,OC,AU,P1,NO
"Andhra Medical College, Visakhapatnam",12843,1205070246,632,M,BCD,AU,P1,NO
"Andhra Medical College, Visakhapatnam",12883,1206040464,632,M,BCD,AU,P1,NO
"Andhra Medical College, Visakhapatnam",12928,1205240389,632,M,BCB,AU,P1,NO
"Andhra Medical College, Visakhapatnam",12970,1206090076,632,F,BCD,AU,P1,NO
"Andhra Medical College, Visakhapatnam",13112,1205030157,632,F,BCD,AU,P1,NO
"Andhra Medical College, Visakhapatnam",13152,1205140107,631,M,BCA,AU,P1,NO
"Andhra Medical College, Visakhapatnam",13159,1205200368,631,F,OC,AU,P1,NO
"Andhra Medical College, Visakhapatnam",13382,1205090415,631,F,BCE,SVU,P1,NO
"Andhra Medical College, Visakhapatnam",13606,1228010256,630,M,BCD,AU,P1,NO
"Andhra Medical College, Visakhapatnam",13632,1205010423,630,F,BCB,AU,P1,NO
"Andhra Medical College, Visakhapatnam",13645,1205230287,630,F,BCD,AU,P1,NO
"Andhra Medical College, Visakhapatnam",13665,4205080400,630,M,BCD,AU,P1,NO
"Andhra Medical College, Visakhapatnam",13714,1205220092,630,M,BCD,AU,P1,NO
"Andhra Medical College, Visakhapatnam",13761,1205030388,630,M,BCD,AU,P1,NO
"Andhra Medical College, Visakhapatnam",13770,1206040047,630,M,BCB,AU,P1,NO
"Andhra Medical College, Visakhapatnam",14018,1206100112,630,M,BCD,AU,P1,NO
"Andhra Medical College, Visakhapatnam",14212,1205250065,629,M,OC,AU,P1,NO
"Andhra Medical College, Visakhapatnam",14241,1228010190,629,F,BCD,AU,P1,NO
"Andhra Medical College, Visakhapatnam",14551,1205230362,628,F,BCB,AU,P1,NO
"Andhra Medical College, Visakhapatnam",14655,1205090064,628,M,BCB,AU,P1,NO
"Andhra Medical College, Visakhapatnam",14709,1205240003,628,F,BCD,AU,P1,NO
"Andhra Medical College, Visakhapatnam",14722,1206050537,628,F,BCD,AU,P1,NO
"Andhra Medical College, Visakhapatnam",14822,1228040177,627,M,OC,AU,P1,NO
"Andhra Medical College, Visakhapatnam",14894,1228010277,627,F,OC,AU,P1,NO
"Andhra Medical College, Visakhapatnam",14932,1205010471,627,M,OC,AU,P1,NO
"Andhra Medical College, Visakhapatnam",15250,1205070140,626,F,BCA,AU,P1,NO
"Andhra Medical College, Visakhapatnam",15576,1205250231,626,F,BCD,AU,P1,NO
"Andhra Medical College, Visakhapatnam",15704,1205100090,625,M,OC,AU,P1,NO
"Andhra Medical College, Visakhapatnam",15726,1205050620,625,M,OC,AU,P1,NO
"Andhra Medical College, Visakhapatnam",15729,1205160315,625,F,OC,AU,P1,NO
"Andhra Medical College, Visakhapatnam",15773,1206090331,625,F,OC,AU,P1,NO
"Andhra Medical College, Visakhapatnam",15780,1206070211,625,F,OC,AU,P1,NO
"Andhra Medical College, Visakhapatnam",16108,1228010343,625,M,BCA,AU,P1,NO
"Andhra Medical College, Visakhapatnam",16217,1206040180,625,M,BCB,AU,P1,NO
"Andhra Medical College, Visakhapatnam",16682,1205040600,624,M,OC,AU,P1,NO
"Andhra Medical College, Visakhapatnam",16825,1224060017,623,F,OC,AU,P1,NO
"Andhra Medical College, Visakhapatnam",16988,1205060307,623,F,OC,AU,P1,NO
"Andhra Medical College, Visakhapatnam",16989,1228010246,623,M,BCB,AU,P1,NO
"Andhra Medical College, Visakhapatnam",17020,1229060100,623,M,OC,AU,P1,NO
"Andhra Medical College, Visakhapatnam",17103,1205160284,622,F,OC,AU,P1,NO
"Andhra Medical College, Visakhapatnam",17118,1225020071,622,F,BCB,AU,P1,NO
"Andhra Medical College, Visakhapatnam",17247,1205010971,622,M,OC,AU,P1,NO
"Andhra Medical College, Visakhapatnam",17522,1206030325,622,F,SC,AU,P1,NO
"Andhra Medical College, Visakhapatnam",17581,1206090152,621,M,BCA,AU,P1,NO
"Andhra Medical College, Visakhapatnam",17775,1205130207,621,M,OC,AU,P1,NO
"Andhra Medical College, Visakhapatnam",17844,1205140225,621,M,OC,AU,P1,NO
"Andhra Medical College, Visakhapatnam",17888,1205270045,621,M,BCA,AU,P1,NO
"Andhra Medical College, Visakhapatnam",18082,1205270005,620,M,OC,AU,P1,NO
"Andhra Medical College, Visakhapatnam",18181,1205070516,620,F,OC,AU,P1,NO
"Andhra Medical College, Visakhapatnam",18227,1206090068,620,F,BCB,AU,P1,NO
"Andhra Medical College, Visakhapatnam",18357,1205080413,620,M,OC,AU,P1,NO
"Andhra Medical College, Visakhapatnam",18762,1206160329,619,F,BCB,AU,P1,NO
"Andhra Medical College, Visakhapatnam",18944,1206040013,619,F,BCB,AU,P1,NO
"Andhra Medical College, Visakhapatnam",19119,1206080257,618,F,BCB,AU,P1,NO
"Andhra Medical College, Visakhapatnam",19199,1220030173,618,F,BCA,AU,P1,NO
"Andhra Medical College, Visakhapatnam",21166,1220040252,614,F,BCB,AU,P1,NO
"Andhra Medical College, Visakhapatnam",21517,1206100387,613,M,BCB,AU,P1,NO
"Andhra Medical College, Visakhapatnam",21672,1206020277,613,F,BCA,AU,P1,NO
"Andhra Medical College, Visakhapatnam",21735,1205150381,613,M,SC,SVU,P1,NO
"Andhra Medical College, Visakhapatnam",22044,1206100401,612,F,BCE,AU,P1,NO
"Andhra Medical College, Visakhapatnam",22113,1205160455,612,M,BCB,AU,P1,NO
"Andhra Medical College, Visakhapatnam",22224,1205020309,612,M,BCA,AU,P1,NO
"Andhra Medical College, Visakhapatnam",22315,1224010129,612,M,BCB,AU,P1,NO
"Andhra Medical College, Visakhapatnam",26688,1206020267,604,F,BCA,AU,P1,NO
"Andhra Medical College, Visakhapatnam",27058,4203020332,603,M,BCE,AU,P1,NO
"Andhra Medical College, Visakhapatnam",27077,1206010782,603,F,BCA,AU,P1,NO
"Andhra Medical College, Visakhapatnam",29393,1206150074,599,F,BCA,AU,P1,NO
"Andhra Medical College, Visakhapatnam",30472,1206040067,597,M,BCA,AU,P1,NO
"Andhra Medical College, Visakhapatnam",30641,1206090030,597,F,BCA,AU,P1,NO
"Andhra Medical College, Visakhapatnam",31456,1229060233,596,F,BCA,AU,P1,NO
"Andhra Medical College, Visakhapatnam",33235,1225050068,593,M,SC,AU,P1,NO
"Andhra Medical College, Visakhapatnam",34134,1205010567,591,F,BCC,AU,P1,NO
"Andhra Medical College, Visakhapatnam",34263,1220020002,591,F,SC,AU,P1,NO
"Andhra Medical College, Visakhapatnam",35345,4204050208,590,M,SC,AU,P1,NO
"Andhra Medical College, Visakhapatnam",35536,1224050252,589,F,SC,AU,P1,NO
"Andhra Medical College, Visakhapatnam",40152,1228010126,582,M,BCE,AU,P1,NO
"Andhra Medical College, Visakhapatnam",42532,1228040132,579,M,SC,AU,P1,NO
"Andhra Medical College, Visakhapatnam",42605,1213011026,579,M,BCE,AU,P1,NO
"Andhra Medical College, Visakhapatnam",44218,1205020030,576,M,BCE,AU,P1,NO
"Andhra Medical College, Visakhapatnam",44226,1205090467,576,M,SC,AU,P1,NO
"Andhra Medical College, Visakhapatnam",44883,1205060429,575,M,SC,AU,P1,NO
"Andhra Medical College, Visakhapatnam",45168,1202010837,575,M,SC,AU,P1,NO
"Andhra Medical College, Visakhapatnam",46364,1206020404,573,M,SC,AU,P1,NO
"Andhra Medical College, Visakhapatnam",46564,1228020015,573,F,SC,AU,P1,NO
"Andhra Medical College, Visakhapatnam",47670,1228040166,571,M,SC,AU,P1,NO
"Andhra Medical College, Visakhapatnam",48591,1205030293,570,M,SC,AU,P1,NO
"Andhra Medical College, Visakhapatnam",55640,1206010571,561,F,SC,AU,P1,NO
