,COLLEGE,RANK,NEET_ROLL_NO,SCORE,SX,CAT,LOC,PHASE,EWS
22,"Anil NeeruKonda Institute of Dental Sciences, Visakhapatnam",178836,1206050279,437,F,SC,AU,P1,NO
23,"Anil NeeruKonda Institute of Dental Sciences, Visakhapatnam",185537,1206010685,432,F,BCD,AU,P1,NO
24,"Anil NeeruKonda Institute of Dental Sciences, Visakhapatnam",189872,1205100054,429,F,BCA,AU,P1,NO
25,"Anil NeeruKonda Institute of Dental Sciences, Visakhapatnam",193148,1225010566,426,F,BCD,AU,P1,NO
26,"Anil NeeruKonda Institute of Dental Sciences, Visakhapatnam",193993,1229050097,426,F,BCD,AU,P1,NO
27,"Anil NeeruKonda Institute of Dental Sciences, Visakhapatnam",194744,1206160435,425,F,BCD,AU,P1,NO
28,"Anil NeeruKonda Institute of Dental Sciences, Visakhapatnam",196336,1206110345,424,F,BCD,AU,P1,NO
29,"Anil NeeruKonda Institute of Dental Sciences, Visakhapatnam",197547,1205210102,423,F,BCD,AU,P1,NO
30,"Anil NeeruKonda Institute of Dental Sciences, Visakhapatnam",199843,1204030497,421,M,BCB,SVU,P1,NO
31,"Anil NeeruKonda Institute of Dental Sciences, Visakhapatnam",211074,1205090474,413,F,SC,AU,P1,NO
32,"Anil NeeruKonda Institute of Dental Sciences, Visakhapatnam",212499,1220060225,412,F,SC,AU,P1,NO
33,"Anil NeeruKonda Institute of Dental Sciences, Visakhapatnam",214084,1216020033,411,F,SC,AU,P1,NO
34,"Anil NeeruKonda Institute of Dental Sciences, Visakhapatnam",217143,1206090467,409,M,BCA,AU,P1,NO
35,"Anil NeeruKonda Institute of Dental Sciences, Visakhapatnam",218223,1201020307,408,M,BCB,AU,P1,NO
36,"Anil NeeruKonda Institute of Dental Sciences, Visakhapatnam",218231,1206010055,408,F,BCB,AU,P1,NO
37,"Anil NeeruKonda Institute of Dental Sciences, Visakhapatnam",224501,1216010403,404,M,SC,AU,P1,NO
38,"Anil NeeruKonda Institute of Dental Sciences, Visakhapatnam",224892,1225030048,404,F,SC,AU,P1,NO
39,"Anil NeeruKonda Institute of Dental Sciences, Visakhapatnam",226129,1216030441,403,F,BCB,AU,P1,NO
40,"Anil NeeruKonda Institute of Dental Sciences, Visakhapatnam",227345,4201180180,402,F,SC,AU,P1,NO
41,"Anil NeeruKonda Institute of Dental Sciences, Visakhapatnam",228477,1206010768,401,M,BCB,AU,P1,NO
42,"Anil NeeruKonda Institute of Dental Sciences, Visakhapatnam",231471,1205130126,399,F,BCB,AU,P1,NO
43,"Anil NeeruKonda Institute of Dental Sciences, Visakhapatnam",233167,1220010320,398,F,BCE,AU,P1,NO
44,"Anil NeeruKonda Institute of Dental Sciences, Visakhapatnam",242385,1206060524,392,F,BCE,AU,P1,NO
45,"Anil NeeruKonda Institute of Dental Sciences, Visakhapatnam",248383,1201020206,388,F,BCB,AU,P1,NO
47,"Anil NeeruKonda Institute of Dental Sciences, Visakhapatnam",282358,1201050193,368,M,ST,AU,P1,NO
48,"Anil NeeruKonda Institute of Dental Sciences, Visakhapatnam",299520,1205010009,358,F,ST,AU,P1,NO
49,"Anil NeeruKonda Institute of Dental Sciences, Visakhapatnam",328136,1201120147,343,M,ST,AU,P1,NO
51,"C.K.S. Theja Institute of Dental Sciences and Research, Tirupathi",87856,1204080266,522,F,OC,SVU,P1,NO
52,"C.K.S. Theja Institute of Dental Sciences and Research, Tirupathi",100518,1224060117,508,F,OC,AU,P1,NO
53,"C.K.S. Theja Institute of Dental Sciences and Research, Tirupathi",102358,1205150122,506,F,BCD,AU,P1,NO
54,"C.K.S. Theja Institute of Dental Sciences and Research, Tirupathi",119959,1205120050,489,F,BCB,AU,P1,NO
55,"C.K.S. Theja Institute of Dental Sciences and Research, Tirupathi",121786,1204050166,487,F,OC,SVU,P1,NO
56,"C.K.S. Theja Institute of Dental Sciences and Research, Tirupathi",137022,1205050733,473,M,OC,SVU,P1,NO
57,"C.K.S. Theja Institute of Dental Sciences and Research, Tirupathi",140928,1219020215,469,F,OC,SVU,P1,NO
58,"C.K.S. Theja Institute of Dental Sciences and Research, Tirupathi",141900,1203060750,468,F,BCB,SVU,P1,NO
59,"C.K.S. Theja Institute of Dental Sciences and Research, Tirupathi",149880,1204050486,461,M,OC,SVU,P1,NO
60,"C.K.S. Theja Institute of Dental Sciences and Research, Tirupathi",150906,1202050145,460,M,BCB,SVU,P1,NO
61,"C.K.S. Theja Institute of Dental Sciences and Research, Tirupathi",152190,1203010624,459,M,OC,SVU,P1,NO
62,"C.K.S. Theja Institute of Dental Sciences and Research, Tirupathi",154497,1202020851,457,F,OC,SVU,P1,NO
63,"C.K.S. Theja Institute of Dental Sciences and Research, Tirupathi",155689,1205150383,456,F,OC,SVU,P1,NO
64,"C.K.S. Theja Institute of Dental Sciences and Research, Tirupathi",156440,1219030163,456,F,BCE,SVU,P1,NO
65,"C.K.S. Theja Institute of Dental Sciences and Research, Tirupathi",157131,1221010666,455,M,BCA,SVU,P1,NO
66,"C.K.S. Theja Institute of Dental Sciences and Research, Tirupathi",163517,1201040465,450,M,BCB,SVU,P1,NO
67,"C.K.S. Theja Institute of Dental Sciences and Research, Tirupathi",164524,1206040289,449,F,BCD,AU,P1,NO
68,"C.K.S. Theja Institute of Dental Sciences and Research, Tirupathi",165552,1203030496,448,F,BCA,SVU,P1,NO
69,"C.K.S. Theja Institute of Dental Sciences and Research, Tirupathi",167623,1204010827,446,M,BCA,SVU,P1,NO
70,"C.K.S. Theja Institute of Dental Sciences and Research, Tirupathi",169125,1205080374,445,M,BCA,SVU,P1,NO
71,"C.K.S. Theja Institute of Dental Sciences and Research, Tirupathi",170253,1202020421,444,F,BCE,SVU,P1,NO
72,"C.K.S. Theja Institute of Dental Sciences and Research, Tirupathi",172025,1202010928,443,M,BCA,SVU,P1,NO
73,"C.K.S. Theja Institute of Dental Sciences and Research, Tirupathi",175471,1205060058,440,M,BCA,SVU,P1,NO
74,"C.K.S. Theja Institute of Dental Sciences and Research, Tirupathi",175908,1212050147,440,F,BCA,SVU,P1,NO
75,"C.K.S. Theja Institute of Dental Sciences and Research, Tirupathi",177641,1212010724,438,F,BCD,SVU,P1,NO
76,"C.K.S. Theja Institute of Dental Sciences and Research, Tirupathi",179302,1205170306,437,F,BCB,SVU,P1,NO
77,"C.K.S. Theja Institute of Dental Sciences and Research, Tirupathi",180041,1215010188,436,M,BCD,SVU,P1,NO
78,"C.K.S. Theja Institute of Dental Sciences and Research, Tirupathi",181388,1202040402,435,F,BCE,SVU,P1,NO
79,"C.K.S. Theja Institute of Dental Sciences and Research, Tirupathi",181422,1221020176,435,F,BCA,SVU,P1,NO
80,"C.K.S. Theja Institute of Dental Sciences and Research, Tirupathi",182767,1219030135,434,F,BCE,SVU,P1,NO
81,"C.K.S. Theja Institute of Dental Sciences and Research, Tirupathi",184212,1212050244,433,F,BCB,SVU,P1,NO
82,"C.K.S. Theja Institute of Dental Sciences and Research, Tirupathi",184948,1219030339,433,F,BCB,SVU,P1,NO
83,"C.K.S. Theja Institute of Dental Sciences and Research, Tirupathi",188000,1205110093,430,F,BCB,SVU,P1,NO
84,"C.K.S. Theja Institute of Dental Sciences and Research, Tirupathi",189655,1202010436,429,F,BCB,SVU,P1,NO
85,"C.K.S. Theja Institute of Dental Sciences and Research, Tirupathi",189718,1205100318,429,F,BCB,SVU,P1,NO
86,"C.K.S. Theja Institute of Dental Sciences and Research, Tirupathi",192118,1203010112,427,F,SC,SVU,P1,NO
87,"C.K.S. Theja Institute of Dental Sciences and Research, Tirupathi",192715,1205190396,427,F,BCD,SVU,P1,NO
88,"C.K.S. Theja Institute of Dental Sciences and Research, Tirupathi",193516,1205010522,426,M,BCD,SVU,P1,NO
89,"C.K.S. Theja Institute of Dental Sciences and Research, Tirupathi",194799,1205150375,425,M,BCD,SVU,P1,NO
90,"C.K.S. Theja Institute of Dental Sciences and Research, Tirupathi",194925,1212040026,425,F,SC,SVU,P1,NO
91,"C.K.S. Theja Institute of Dental Sciences and Research, Tirupathi",196022,1202060311,424,F,SC,SVU,P1,NO
92,"C.K.S. Theja Institute of Dental Sciences and Research, Tirupathi",197171,1204020146,423,F,SC,SVU,P1,NO
93,"C.K.S. Theja Institute of Dental Sciences and Research, Tirupathi",200211,1202040054,421,F,SC,SVU,P1,NO
94,"C.K.S. Theja Institute of Dental Sciences and Research, Tirupathi",204152,1202030755,418,F,SC,SVU,P1,NO
95,"C.K.S. Theja Institute of Dental Sciences and Research, Tirupathi",210066,1203030491,414,F,SC,SVU,P1,NO
96,"C.K.S. Theja Institute of Dental Sciences and Research, Tirupathi",212077,1203020375,413,F,BCC,SVU,P1,NO
97,"C.K.S. Theja Institute of Dental Sciences and Research, Tirupathi",277865,1204070269,370,F,ST,SVU,P1,NO
98,"C.K.S. Theja Institute of Dental Sciences and Research, Tirupathi",283524,1212010321,367,F,ST,SVU,P1,NO
99,"C.K.S. Theja Institute of Dental Sciences and Research, Tirupathi",286797,1202020707,365,M,ST,SVU,P1,NO
100,"C.K.S. Theja Institute of Dental Sciences and Research, Tirupathi",1052761,1204060128,130,M,BCA,SVU,P1,NO
101,"Care Dental College, Guntur",109259,1205040200,499,M,OC,APNL,P1,NO
102,"Care Dental College, Guntur",114485,1201030152,494,M,OC,AU,P1,NO
103,"Care Dental College, Guntur",151795,1205010275,460,M,OC,AU,P1,NO
104,"Care Dental College, Guntur",153383,1205100157,458,F,OC,AU,P1,NO
105,"Care Dental College, Guntur",153674,1228010232,458,F,BCB,AU,P1,NO
106,"Care Dental College, Guntur",158031,1220050083,454,F,OC,AU,P1,NO
107,"Care Dental College, Guntur",170467,1208020458,444,F,SC,AU,P1,NO
108,"Care Dental College, Guntur",176957,1201010207,439,M,BCD,AU,P1,NO
109,"Care Dental College, Guntur",178102,1201060329,438,F,BCA,AU,P1,NO
110,"Care Dental College, Guntur",180083,1205100214,436,M,BCA,AU,P1,NO
111,"Care Dental College, Guntur",193407,1222040086,426,F,SC,AU,P1,NO
112,"Care Dental College, Guntur",193802,1201030190,426,F,BCD,AU,P1,NO
113,"Care Dental College, Guntur",195907,1205220405,424,F,SC,AU,P1,NO
114,"Care Dental College, Guntur",203962,1206090185,419,F,BCD,AU,P1,NO
115,"Care Dental College, Guntur",204269,1206040110,418,F,BCB,AU,P1,NO
116,"Care Dental College, Guntur",204281,1205060378,418,F,SC,AU,P1,NO
117,"Care Dental College, Guntur",207187,1220010558,416,F,BCB,AU,P1,NO
118,"Care Dental College, Guntur",212978,1205230245,412,F,BCA,AU,P1,NO
119,"Care Dental College, Guntur",213855,1201010021,411,M,SC,AU,P1,NO
120,"Care Dental College, Guntur",214268,1222010087,411,F,BCA,AU,P1,NO
121,"Care Dental College, Guntur",219729,1201060029,407,F,BCE,AU,P1,NO
122,"Care Dental College, Guntur",222538,1225040146,405,F,BCB,AU,P1,NO
123,"Care Dental College, Guntur",222620,1201100120,405,M,SC,AU,P1,NO
124,"Care Dental College, Guntur",253073,1201010484,385,M,ST,AU,P1,NO
125,"Care Dental College, Guntur",290359,1203060818,363,F,ST,SVU,P1,NO
126,"Drs. Sudha and Nageswara Rao Siddhartha Inst. of Dental Sciences., Gannavaram",81266,1205030680,529,M,BCD,AU,P1,NO
127,"Drs. Sudha and Nageswara Rao Siddhartha Inst. of Dental Sciences., Gannavaram",91998,1205030104,517,M,BCD,AU,P1,NO
128,"Drs. Sudha and Nageswara Rao Siddhartha Inst. of Dental Sciences., Gannavaram",96938,1209010441,512,F,BCD,AU,P1,NO
129,"Drs. Sudha and Nageswara Rao Siddhartha Inst. of Dental Sciences., Gannavaram",104361,1214010293,504,F,OC,AU,P1,NO
130,"Drs. Sudha and Nageswara Rao Siddhartha Inst. of Dental Sciences., Gannavaram",105327,1205030770,503,F,OC,AU,P1,NO
131,"Drs. Sudha and Nageswara Rao Siddhartha Inst. of Dental Sciences., Gannavaram",109813,1205040269,499,F,OC,AU,P1,NO
132,"Drs. Sudha and Nageswara Rao Siddhartha Inst. of Dental Sciences., Gannavaram",114972,1205010835,494,F,OC,AU,P1,NO
133,"Drs. Sudha and Nageswara Rao Siddhartha Inst. of Dental Sciences., Gannavaram",124089,4215020266,485,F,OC,AU,P1,NO
134,"Drs. Sudha and Nageswara Rao Siddhartha Inst. of Dental Sciences., Gannavaram",128124,1205240397,481,F,BCD,AU,P1,NO
135,"Drs. Sudha and Nageswara Rao Siddhartha Inst. of Dental Sciences., Gannavaram",129056,1214010163,480,F,OC,AU,P1,NO
136,"Drs. Sudha and Nageswara Rao Siddhartha Inst. of Dental Sciences., Gannavaram",130134,1220010383,479,F,BCD,AU,P1,NO
137,"Drs. Sudha and Nageswara Rao Siddhartha Inst. of Dental Sciences., Gannavaram",131434,1205030529,478,F,OC,AU,P1,NO
138,"Drs. Sudha and Nageswara Rao Siddhartha Inst. of Dental Sciences., Gannavaram",135898,1206060389,474,F,OC,AU,P1,NO
139,"Drs. Sudha and Nageswara Rao Siddhartha Inst. of Dental Sciences., Gannavaram",136320,1205190270,473,F,OC,AU,P1,NO
140,"Drs. Sudha and Nageswara Rao Siddhartha Inst. of Dental Sciences., Gannavaram",136458,1228030028,473,M,OC,AU,P1,NO
141,"Drs. Sudha and Nageswara Rao Siddhartha Inst. of Dental Sciences., Gannavaram",138473,1205180472,471,M,BCB,AU,P1,NO
142,"Drs. Sudha and Nageswara Rao Siddhartha Inst. of Dental Sciences., Gannavaram",144143,1205250235,466,F,OC,AU,P1,NO
143,"Drs. Sudha and Nageswara Rao Siddhartha Inst. of Dental Sciences., Gannavaram",144226,1205110466,466,F,OC,AU,P1,NO
144,"Drs. Sudha and Nageswara Rao Siddhartha Inst. of Dental Sciences., Gannavaram",145318,1205190444,465,F,OC,AU,P1,NO
145,"Drs. Sudha and Nageswara Rao Siddhartha Inst. of Dental Sciences., Gannavaram",146728,1205260159,464,F,BCB,AU,P1,NO
146,"Drs. Sudha and Nageswara Rao Siddhartha Inst. of Dental Sciences., Gannavaram",147601,1225010115,463,F,BCD,AU,P1,NO
147,"Drs. Sudha and Nageswara Rao Siddhartha Inst. of Dental Sciences., Gannavaram",156961,1216030143,455,F,BCA,AU,P1,NO
148,"Drs. Sudha and Nageswara Rao Siddhartha Inst. of Dental Sciences., Gannavaram",158487,1206010393,454,F,BCD,AU,P1,NO
149,"Drs. Sudha and Nageswara Rao Siddhartha Inst. of Dental Sciences., Gannavaram",162114,1205220034,451,F,BCD,AU,P1,NO
150,"Drs. Sudha and Nageswara Rao Siddhartha Inst. of Dental Sciences., Gannavaram",162402,1205040381,451,F,BCB,AU,P1,NO
151,"Drs. Sudha and Nageswara Rao Siddhartha Inst. of Dental Sciences., Gannavaram",163983,1205130385,450,F,BCD,AU,P1,NO
152,"Drs. Sudha and Nageswara Rao Siddhartha Inst. of Dental Sciences., Gannavaram",165309,1205130465,448,F,BCB,AU,P1,NO
153,"Drs. Sudha and Nageswara Rao Siddhartha Inst. of Dental Sciences., Gannavaram",171292,1205230166,443,F,BCB,AU,P1,NO
154,"Drs. Sudha and Nageswara Rao Siddhartha Inst. of Dental Sciences., Gannavaram",175058,1205150377,440,F,SC,AU,P1,NO
155,"Drs. Sudha and Nageswara Rao Siddhartha Inst. of Dental Sciences., Gannavaram",175175,1205160391,440,F,BCB,AU,P1,NO
156,"Drs. Sudha and Nageswara Rao Siddhartha Inst. of Dental Sciences., Gannavaram",175346,1205100410,440,F,BCA,AU,P1,NO
157,"Drs. Sudha and Nageswara Rao Siddhartha Inst. of Dental Sciences., Gannavaram",176400,1205220001,439,F,BCB,AU,P1,NO
158,"Drs. Sudha and Nageswara Rao Siddhartha Inst. of Dental Sciences., Gannavaram",180494,1201040231,436,F,BCB,AU,P1,NO
159,"Drs. Sudha and Nageswara Rao Siddhartha Inst. of Dental Sciences., Gannavaram",180948,1205120263,436,M,BCB,AU,P1,NO
160,"Drs. Sudha and Nageswara Rao Siddhartha Inst. of Dental Sciences., Gannavaram",182819,1220060184,434,F,BCA,AU,P1,NO
161,"Drs. Sudha and Nageswara Rao Siddhartha Inst. of Dental Sciences., Gannavaram",184006,4201480296,433,F,BCE,SVU,P1,NO
162,"Drs. Sudha and Nageswara Rao Siddhartha Inst. of Dental Sciences., Gannavaram",186615,1209010549,431,F,SC,AU,P1,NO
163,"Drs. Sudha and Nageswara Rao Siddhartha Inst. of Dental Sciences., Gannavaram",190520,1228030041,428,F,BCE,AU,P1,NO
164,"Drs. Sudha and Nageswara Rao Siddhartha Inst. of Dental Sciences., Gannavaram",192235,1203040359,427,F,SC,AU,P1,NO
165,"Drs. Sudha and Nageswara Rao Siddhartha Inst. of Dental Sciences., Gannavaram",194457,1206130187,425,F,BCA,AU,P1,NO
166,"Drs. Sudha and Nageswara Rao Siddhartha Inst. of Dental Sciences., Gannavaram",199472,1205120272,422,F,BCB,AU,P1,NO
167,"Drs. Sudha and Nageswara Rao Siddhartha Inst. of Dental Sciences., Gannavaram",204362,1205020384,418,M,SC,AU,P1,NO
168,"Drs. Sudha and Nageswara Rao Siddhartha Inst. of Dental Sciences., Gannavaram",212402,1224050095,412,F,SC,AU,P1,NO
169,"Drs. Sudha and Nageswara Rao Siddhartha Inst. of Dental Sciences., Gannavaram",216805,1205080337,409,F,SC,AU,P1,NO
170,"Drs. Sudha and Nageswara Rao Siddhartha Inst. of Dental Sciences., Gannavaram",221025,1205120004,406,M,SC,AU,P1,NO
171,"Drs. Sudha and Nageswara Rao Siddhartha Inst. of Dental Sciences., Gannavaram",240527,1222010021,393,M,ST,AU,P1,NO
172,"Drs. Sudha and Nageswara Rao Siddhartha Inst. of Dental Sciences., Gannavaram",276586,1201040206,371,F,ST,AU,P1,NO
173,"Drs. Sudha and Nageswara Rao Siddhartha Inst. of Dental Sciences., Gannavaram",290357,1205220160,363,F,ST,AU,P1,NO
176,"G. Pulla Reddy Dental College and Hospital, Kurnool",79791,1202070269,531,F,OC,SVU,P1,NO
177,"G. Pulla Reddy Dental College and Hospital, Kurnool",88597,4207060154,521,F,OC,AU,P1,NO
178,"G. Pulla Reddy Dental College and Hospital, Kurnool",105486,1202050133,503,F,OC,SVU,P1,NO
179,"G. Pulla Reddy Dental College and Hospital, Kurnool",116974,1202060558,492,F,OC,SVU,P1,NO
180,"G. Pulla Reddy Dental College and Hospital, Kurnool",124648,1204060190,484,F,OC,SVU,P1,NO
181,"G. Pulla Reddy Dental College and Hospital, Kurnool",124872,1202030749,484,F,BCB,SVU,P1,NO
182,"G. Pulla Reddy Dental College and Hospital, Kurnool",135565,1202010947,474,F,OC,SVU,P1,NO
183,"G. Pulla Reddy Dental College and Hospital, Kurnool",137307,1202050130,472,F,BCE,SVU,P1,NO
184,"G. Pulla Reddy Dental College and Hospital, Kurnool",137475,1205110359,472,F,OC,SVU,P1,NO
185,"G. Pulla Reddy Dental College and Hospital, Kurnool",144570,1205270259,466,F,BCA,SVU,P1,NO
186,"G. Pulla Reddy Dental College and Hospital, Kurnool",145417,1202040138,465,F,BCD,SVU,P1,NO
187,"G. Pulla Reddy Dental College and Hospital, Kurnool",151088,1202050052,460,F,BCE,SVU,P1,NO
188,"G. Pulla Reddy Dental College and Hospital, Kurnool",153377,4201350238,458,F,BCA,SVU,P1,NO
189,"G. Pulla Reddy Dental College and Hospital, Kurnool",158022,1205160434,454,M,BCA,SVU,P1,NO
190,"G. Pulla Reddy Dental College and Hospital, Kurnool",158084,1202020306,454,M,BCA,SVU,P1,NO
191,"G. Pulla Reddy Dental College and Hospital, Kurnool",162806,1202010778,450,F,SC,SVU,P1,NO
192,"G. Pulla Reddy Dental College and Hospital, Kurnool",166624,1202010246,447,F,SC,SVU,P1,NO
193,"G. Pulla Reddy Dental College and Hospital, Kurnool",167572,1205180347,446,M,BCD,SVU,P1,NO
194,"G. Pulla Reddy Dental College and Hospital, Kurnool",167674,1203010825,446,F,BCB,SVU,P1,NO
195,"G. Pulla Reddy Dental College and Hospital, Kurnool",180965,1205250167,436,M,BCB,SVU,P1,NO
196,"G. Pulla Reddy Dental College and Hospital, Kurnool",189562,1202011046,429,M,SC,SVU,P1,NO
197,"G. Pulla Reddy Dental College and Hospital, Kurnool",193318,1205080479,426,F,SC,SVU,P1,NO
198,"G. Pulla Reddy Dental College and Hospital, Kurnool",281513,1205230018,368,M,ST,SVU,P1,NO
199,"G. Pulla Reddy Dental College and Hospital, Kurnool",290802,1202020369,363,F,ST,SVU,P1,NO
200,"GITAM Dental College and Hospital, Visakhapatnam",82998,1205070438,527,F,OC,AU,P1,NO
201,"GITAM Dental College and Hospital, Visakhapatnam",85476,1206110237,525,F,OC,AU,P1,NO
202,"GITAM Dental College and Hospital, Visakhapatnam",100818,1206090158,508,F,BCD,AU,P1,NO
203,"GITAM Dental College and Hospital, Visakhapatnam",104428,1206020408,504,F,OC,AU,P1,NO
204,"GITAM Dental College and Hospital, Visakhapatnam",115735,1206100381,493,F,BCD,AU,P1,NO
205,"GITAM Dental College and Hospital, Visakhapatnam",116609,1206110062,492,M,BCB,AU,P1,NO
206,"GITAM Dental College and Hospital, Visakhapatnam",117384,1224030250,491,M,BCB,AU,P1,NO
207,"GITAM Dental College and Hospital, Visakhapatnam",124781,1205020567,484,F,BCD,AU,P1,NO
208,"GITAM Dental College and Hospital, Visakhapatnam",132308,1206030324,477,F,BCD,AU,P1,NO
209,"GITAM Dental College and Hospital, Visakhapatnam",133271,1206030082,476,F,BCB,AU,P1,NO
210,"GITAM Dental College and Hospital, Visakhapatnam",134082,1205090383,475,M,BCB,AU,P1,NO
211,"GITAM Dental College and Hospital, Visakhapatnam",135285,1206030128,474,F,OC,AU,P1,NO
212,"GITAM Dental College and Hospital, Visakhapatnam",136437,1205020073,473,M,OC,AU,P1,NO
213,"GITAM Dental College and Hospital, Visakhapatnam",140811,1205130441,469,F,BCC,AU,P1,NO
214,"GITAM Dental College and Hospital, Visakhapatnam",144293,1206010232,466,F,BCD,AU,P1,NO
215,"GITAM Dental College and Hospital, Visakhapatnam",144312,1201010201,466,F,OC,AU,P1,NO
216,"GITAM Dental College and Hospital, Visakhapatnam",145326,1206010391,465,F,OC,AU,P1,NO
217,"GITAM Dental College and Hospital, Visakhapatnam",147470,1205130109,463,F,OC,AU,P1,NO
218,"GITAM Dental College and Hospital, Visakhapatnam",150036,1205110110,461,F,OC,AU,P1,NO
219,"GITAM Dental College and Hospital, Visakhapatnam",154737,1205020281,457,F,OC,AU,P1,NO
220,"GITAM Dental College and Hospital, Visakhapatnam",155645,1205040325,456,M,OC,AU,P1,NO
221,"GITAM Dental College and Hospital, Visakhapatnam",155932,1205060390,456,M,BCD,AU,P1,NO
222,"GITAM Dental College and Hospital, Visakhapatnam",158382,1206140177,454,M,BCD,AU,P1,NO
223,"GITAM Dental College and Hospital, Visakhapatnam",160565,1206070016,452,F,BCB,AU,P1,NO
224,"GITAM Dental College and Hospital, Visakhapatnam",168701,1206030270,446,F,BCD,AU,P1,NO
225,"GITAM Dental College and Hospital, Visakhapatnam",172564,1224020053,442,F,BCB,AU,P1,NO
226,"GITAM Dental College and Hospital, Visakhapatnam",176463,1205030155,439,M,BCD,AU,P1,NO
227,"GITAM Dental College and Hospital, Visakhapatnam",178839,1206100383,437,M,SC,AU,P1,NO
228,"GITAM Dental College and Hospital, Visakhapatnam",179504,1205150010,437,F,BCC,AU,P1,NO
229,"GITAM Dental College and Hospital, Visakhapatnam",181439,1205050515,435,F,BCB,AU,P1,NO
230,"GITAM Dental College and Hospital, Visakhapatnam",182774,1224050129,434,F,BCD,AU,P1,NO
231,"GITAM Dental College and Hospital, Visakhapatnam",183017,1206080125,434,F,BCB,AU,P1,NO
232,"GITAM Dental College and Hospital, Visakhapatnam",204506,1206090010,418,M,BCA,AU,P1,NO
233,"GITAM Dental College and Hospital, Visakhapatnam",207224,1206070409,416,F,SC,AU,P1,NO
234,"GITAM Dental College and Hospital, Visakhapatnam",211838,1224020301,413,M,SC,AU,P1,NO
235,"GITAM Dental College and Hospital, Visakhapatnam",212477,1221020079,412,M,BCA,AU,P1,NO
236,"GITAM Dental College and Hospital, Visakhapatnam",213894,1206030062,411,F,BCE,AU,P1,NO
237,"GITAM Dental College and Hospital, Visakhapatnam",213995,1222010670,411,F,BCA,AU,P1,NO
238,"GITAM Dental College and Hospital, Visakhapatnam",215263,1206090360,410,F,ST,AU,P1,NO
239,"GITAM Dental College and Hospital, Visakhapatnam",215705,1220050154,410,M,BCA,AU,P1,NO
240,"GITAM Dental College and Hospital, Visakhapatnam",216776,1206160137,409,F,SC,AU,P1,NO
241,"GITAM Dental College and Hospital, Visakhapatnam",225846,1222010763,403,M,BCA,AU,P1,NO
242,"GITAM Dental College and Hospital, Visakhapatnam",227023,1205010720,402,M,SC,AU,P1,NO
243,"GITAM Dental College and Hospital, Visakhapatnam",228407,1205020169,401,M,SC,AU,P1,NO
244,"GITAM Dental College and Hospital, Visakhapatnam",229800,1206160291,400,F,SC,AU,P1,NO
245,"GITAM Dental College and Hospital, Visakhapatnam",231420,1206110035,399,F,BCA,AU,P1,NO
246,"GITAM Dental College and Hospital, Visakhapatnam",231585,1205130277,399,F,BCE,AU,P1,NO
